,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,146773,1,10,10,5,5,5,40,222,146995,left,280,4469,3551,25,142013,47
1,2,156361,1,12,2,5,5,5,9,247,156608,left,270,4016,4014,33,152085,42
2,3,166868,1,22,10,5,5,5,3,187,167055,left,260,4473,3567,50,162141,18
3,4,176472,1,22,0,4,4,4,17,219,176691,right,250,4025,4025,18,172179,33
4,5,186711,1,32,10,4,4,4,6,196,186907,right,250,4219,3831,22,182235,32
5,6,196550,1,32,0,5,5,5,16,217,196767,left,250,4009,4041,45,192274,45
6,7,206689,1,34,2,4,4,4,4,206,206895,right,250,4088,3962,14,202346,39
7,8,216895,1,34,0,4,4,4,17,244,217139,right,250,4259,3791,24,212368,19
8,9,226733,1,44,10,5,5,5,13,181,226914,left,250,4046,4004,33,222423,9
9,10,236805,1,44,0,5,5,5,8,212,237017,left,250,4117,3933,31,232429,17
10,11,246727,1,46,2,4,4,4,5,184,246911,right,250,4003,4047,38,242468,19
11,12,257100,1,46,0,4,4,4,3,190,257290,right,250,4356,3694,13,252490,12
12,13,267055,1,56,10,5,5,5,12,191,267246,left,250,4314,3736,27,262478,3
13,14,277178,1,58,2,4,4,4,14,223,277401,right,250,4429,3621,45,272484,7
14,15,286983,1,58,0,5,5,5,15,201,287184,left,250,4178,3872,32,282539,5
15,16,297188,1,60,2,5,5,5,13,246,297434,left,250,4346,3704,48,292578,18
16,17,307411,1,60,0,4,4,4,17,184,307595,right,250,4476,3574,22,302667,19
17,18,317032,1,62,2,5,5,5,9,191,317223,left,250,4100,3950,27,312672,10
18,19,326987,1,72,10,4,4,4,12,248,327235,right,250,4046,4004,49,322678,7
19,20,337444,0,72,2,5,5,,12,0,0,left,250,4414,3636,32,332767,18
20,21,347516,1,72,0,4,4,4,10,235,347751,right,250,4416,3634,21,342839,18
21,22,357304,1,74,2,5,5,5,12,197,357501,left,250,4146,3904,27,352895,13
22,23,367543,1,84,10,4,4,4,5,206,367749,right,250,4387,3663,40,362900,6
23,24,377265,1,86,2,4,4,4,17,187,377452,right,250,4058,3992,27,372939,10
24,25,387454,1,96,10,5,5,5,8,220,387674,left,250,4251,3799,42,382944,5
25,26,397710,1,96,0,4,4,4,9,210,397920,right,250,4450,3600,35,393000,8
26,27,407348,1,106,10,5,5,5,7,179,407527,left,250,4052,3998,39,403038,15
27,28,417671,1,108,2,5,5,5,11,185,417856,left,250,4365,3685,37,413044,11
28,29,427409,0,108,0,4,4,,10,0,0,right,250,4082,3968,31,423066,13
29,30,437849,1,108,0,5,5,5,15,199,438048,left,250,4445,3605,21,433138,19
30,31,447687,1,118,10,4,4,4,13,196,447883,right,250,4279,3771,49,443144,13
31,32,457692,1,120,2,5,5,5,11,196,457888,left,250,4248,3802,50,453182,17
32,33,467898,0,120,10,4,4,,3,0,0,right,250,4423,3627,40,463221,17
33,34,477569,0,120,0,4,4,,9,0,0,right,250,4016,4034,43,473293,10
34,35,487876,1,122,2,4,4,4,12,190,488066,right,250,4247,3803,38,483366,8
35,36,498015,1,132,10,5,5,5,14,238,498253,left,250,4362,3688,17,493388,12
36,37,507987,1,132,0,4,4,4,17,221,508208,right,250,4276,3774,19,503443,16
37,38,517925,1,134,2,4,4,4,2,213,518138,right,250,4190,3860,49,513482,14
38,39,528248,0,134,10,4,4,,3,0,0,right,250,4457,3593,42,523537,17
39,40,538237,1,134,0,5,5,5,15,234,538471,left,250,4361,3689,37,533610,8
40,41,547958,1,144,10,5,5,5,5,235,548193,left,250,4020,4030,49,543682,13
41,42,558264,1,146,2,5,5,5,7,212,558476,left,250,4235,3815,13,553771,18
42,43,568102,1,146,0,5,5,5,2,180,568282,left,250,4073,3977,16,563776,3
43,44,578125,1,146,0,4,4,4,6,225,578350,right,250,4103,3947,36,573765,17
44,45,588380,1,148,2,5,5,5,2,191,588571,left,250,4307,3743,24,583820,14
45,46,598252,1,148,0,4,4,4,3,198,598450,right,250,4172,3878,46,593826,10
46,47,608576,1,150,2,4,4,4,2,235,608811,right,250,4475,3575,28,603848,4
47,48,618547,0,150,0,5,5,,3,0,0,left,250,4390,3660,32,613903,5
48,49,628452,1,152,2,4,4,4,8,239,628691,right,250,4217,3833,50,623976,18
49,50,638441,0,152,0,5,5,,8,0,0,left,250,4117,3933,24,634065,17
50,51,648613,1,162,10,4,4,4,6,213,648826,right,250,4236,3814,45,644120,9
51,52,658802,1,164,2,5,5,5,5,227,659029,left,250,4387,3663,42,654159,5
52,53,668841,1,174,10,5,5,5,4,209,669050,left,250,4372,3678,12,664214,8
53,54,678763,1,174,0,5,5,5,2,232,678995,left,250,4290,3760,49,674220,5
54,55,688986,1,184,10,4,4,4,9,190,689176,right,250,4434,3616,19,684292,18
55,56,698774,0,184,2,5,5,,3,0,0,left,250,4223,3827,26,694297,14
56,57,709097,0,184,10,4,4,,13,0,0,right,250,4480,3570,45,704353,8
57,58,718968,0,184,2,4,4,,13,0,0,right,250,4279,3771,30,714425,5
58,59,728807,1,194,10,5,5,5,11,249,729056,left,250,4064,3986,47,724481,4
59,60,739330,1,196,2,4,4,4,13,232,739562,right,250,4496,3554,29,734570,20
60,61,749185,0,196,0,5,5,,10,0,0,left,250,4316,3734,48,744608,4
61,62,759324,1,206,10,4,4,4,16,226,759550,right,250,4360,3690,21,754697,19
62,63,769398,1,206,0,5,5,5,2,197,769595,left,250,4409,3641,36,764736,12
63,64,779185,0,206,10,5,5,,6,0,0,left,250,4187,3863,10,774741,13
64,65,789257,1,216,10,4,4,4,7,234,789491,right,250,4219,3831,27,784780,6
65,66,799596,1,218,2,4,4,4,15,214,799810,right,250,4494,3556,34,794836,7
