,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,134033,1,10,10,5,5,5,48,221,134254,left,280,4228,3792,31,129506,47
1,2,144272,0,10,2,5,5,,13,0,0,left,270,4413,3617,10,139595,36
2,3,154077,1,20,10,5,5,5,14,244,154321,left,280,4162,3858,29,149650,6
3,4,164349,0,20,0,4,4,,22,0,0,right,270,4370,3660,10,159706,38
4,5,174555,1,30,10,4,4,4,14,214,174769,right,280,4495,3525,35,169795,24
5,6,184260,1,30,0,5,5,5,5,239,184499,left,290,4154,3856,31,179850,48
6,7,194366,1,32,2,4,4,4,15,220,194586,right,280,4211,3809,15,189889,36
7,8,204304,1,32,0,4,4,4,11,241,204545,right,270,4131,3899,32,199911,18
8,9,214493,1,42,10,5,5,5,15,202,214695,left,260,4260,3780,17,209967,19
9,10,224281,0,42,0,5,5,,10,0,0,left,250,4031,4019,32,219989,17
10,11,234721,1,44,2,4,4,4,4,229,234950,right,250,4405,3645,39,230061,18
11,12,244509,0,44,0,4,4,,13,0,0,right,250,4128,3922,26,240116,11
12,13,254682,1,54,10,5,5,5,3,213,254895,left,250,4256,3794,43,250172,8
13,14,264554,1,56,2,4,4,4,11,219,264773,right,250,4081,3969,35,260211,7
14,15,274977,0,56,0,5,5,,9,0,0,left,250,4451,3599,27,270266,15
15,16,285082,0,56,2,5,5,,16,0,0,left,250,4493,3557,22,280322,7
16,17,294921,1,56,0,4,4,4,11,246,295167,right,260,4282,3758,16,290377,11
17,18,305110,1,58,2,5,5,5,4,231,305341,left,270,4439,3591,42,300416,17
18,19,315132,1,68,10,4,4,4,9,221,315353,right,260,4434,3606,33,310438,7
19,20,325237,1,70,2,5,5,5,16,202,325439,left,250,4492,3558,16,320477,17
20,21,334892,0,70,0,4,4,,9,0,0,right,250,4133,3917,23,330499,16
21,22,344998,0,70,2,5,5,,17,0,0,left,250,4176,3874,13,340554,10
22,23,355170,0,70,10,4,4,,5,0,0,right,260,4321,3719,34,350593,3
23,24,364992,1,72,2,4,4,4,5,242,365234,right,270,4071,3959,32,360665,16
24,25,375364,1,82,10,5,5,5,7,227,375591,left,280,4402,3618,28,370704,17
25,26,385353,1,82,0,4,4,4,13,281,385634,right,290,4379,3631,50,380710,6
26,27,395225,1,92,10,5,5,5,2,224,395449,left,300,4173,3827,40,390799,17
27,28,405331,1,94,2,5,5,5,8,225,405556,left,290,4268,3742,43,400804,10
28,29,415186,0,94,0,4,4,,16,0,0,right,280,4093,3927,40,410826,7
29,30,425660,1,94,0,5,5,5,2,286,425946,left,290,4492,3518,41,420915,10
30,31,435581,1,104,10,4,4,4,4,220,435801,right,280,4339,3681,33,430987,9
31,32,445352,1,106,2,5,5,5,10,245,445597,left,270,4082,3948,26,441009,17
32,33,455458,0,106,10,4,4,,15,0,0,right,260,4144,3896,23,451048,7
33,34,465547,0,106,0,4,4,,9,0,0,right,250,4167,3883,43,461120,10
34,35,475552,1,108,2,4,4,4,3,252,475804,right,260,4106,3934,33,471192,7
35,36,485775,1,118,10,5,5,5,17,216,485991,left,270,4242,3788,41,481265,18
36,37,496047,0,118,0,4,4,,13,0,0,right,260,4496,3544,24,491287,9
37,38,505752,1,120,2,4,4,4,11,229,505981,right,270,4131,3899,32,501359,10
38,39,516025,1,130,10,4,4,4,4,217,516242,right,280,4372,3648,46,511398,18
39,40,525696,0,130,0,5,5,,15,0,0,left,270,4010,4020,35,521420,4
40,41,536252,1,140,10,5,5,5,14,206,536458,left,280,4478,3542,29,531509,15
41,42,546141,1,142,2,5,5,5,16,221,546362,left,290,4360,3650,32,541514,4
42,43,555963,0,142,0,5,5,,9,0,0,left,280,4167,3853,19,551536,18
43,44,566102,1,142,0,4,4,4,14,252,566354,right,290,4245,3765,37,561592,15
44,45,576157,1,144,2,5,5,5,6,234,576391,left,300,4253,3747,45,571647,13
45,46,586313,0,144,0,4,4,,15,0,0,right,290,4378,3632,21,581669,5
46,47,596134,1,146,2,4,4,4,16,249,596383,right,300,4126,3874,18,591741,12
47,48,606273,0,146,0,5,5,,14,0,0,left,300,4261,3739,27,601747,16
48,49,616496,1,148,2,4,4,4,17,241,616737,right,300,4426,3574,26,611802,6
49,50,626301,0,148,0,5,5,,17,0,0,left,300,4209,3791,20,621808,7
50,51,636490,1,158,10,4,4,4,7,199,636689,right,300,4352,3648,48,631880,13
51,52,646546,1,160,2,5,5,5,4,230,646776,left,300,4422,3578,29,641869,19
52,53,656534,1,170,10,5,5,5,9,229,656763,left,300,4417,3583,11,651857,4
53,54,666373,0,170,0,5,5,,3,0,0,left,290,4290,3720,39,661829,5
54,55,676528,1,180,10,4,4,4,10,199,676727,right,300,4366,3634,46,671901,11
55,56,686166,0,180,2,5,5,,11,0,0,left,300,4031,3969,24,681873,4
56,57,696289,1,190,10,4,4,4,8,201,696490,right,300,4101,3899,50,691929,9
57,58,706678,1,192,2,4,4,4,12,207,706885,right,300,4480,3520,44,701934,17
58,59,716466,1,202,10,5,5,5,3,224,716690,left,300,4289,3711,15,711923,6
59,60,726405,1,204,2,4,4,4,9,204,726609,right,290,4233,3777,16,721912,19
