,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,160958,0,0,10,5,5,,35,0,0,left,280,4124,3896,36,156548,46
1,2,171197,1,2,2,5,5,5,11,202,171399,left,290,4248,3762,11,166672,32
2,3,181102,1,12,10,5,5,5,5,210,181312,left,300,4187,3813,38,176659,6
3,4,190991,1,12,0,4,4,4,18,197,191188,right,290,4058,3952,48,186664,28
4,5,201163,1,22,10,4,4,4,7,227,201390,right,280,4219,3801,15,196686,35
5,6,211051,1,22,0,5,5,5,8,178,211229,left,270,4084,3946,15,206708,35
6,7,221040,0,22,2,4,4,,2,0,0,right,260,4090,3950,49,216697,35
7,8,231379,1,22,0,4,4,4,3,193,231572,right,250,4339,3711,45,226786,18
8,9,241217,0,22,10,5,5,,6,0,0,left,250,4152,3898,35,236808,6
9,10,251573,0,22,0,5,5,,14,0,0,left,250,4428,3622,35,246880,15
10,11,261662,0,22,2,4,4,,8,0,0,right,260,4451,3589,47,256952,15
11,12,271400,0,22,0,4,4,,4,0,0,right,270,4105,3925,37,267040,19
12,13,281606,1,32,10,5,5,5,13,221,281827,left,280,4229,3791,11,277113,13
13,14,291845,1,34,2,4,4,4,14,242,292087,right,290,4479,3531,42,287101,5
14,15,301483,1,34,0,5,5,5,8,205,301688,left,300,4084,3916,25,297140,8
15,16,311855,1,36,2,5,5,5,8,205,312060,left,300,4484,3516,30,307112,9
16,17,321443,1,36,0,4,4,4,11,228,321671,right,300,4098,3902,34,317083,3
17,18,331749,1,38,2,5,5,5,14,196,331945,left,300,4395,3605,15,327089,16
18,19,341587,1,48,10,4,4,4,9,263,341850,right,290,4283,3727,12,337044,19
19,20,351376,1,50,2,5,5,5,2,256,351632,left,280,4057,3963,47,347066,5
20,21,361781,0,50,0,4,4,,8,0,0,right,270,4384,3646,33,357138,20
21,22,371603,0,50,2,5,5,,12,0,0,left,260,4113,3927,26,367227,18
22,23,381976,0,50,10,4,4,,11,0,0,right,270,4415,3615,21,377299,8
23,24,391647,0,50,2,4,4,,3,0,0,right,280,4022,3998,38,387371,13
24,25,402170,1,60,10,5,5,5,7,262,402432,left,290,4469,3541,41,397443,12
25,26,411958,0,60,0,4,4,,15,0,0,right,300,4211,3789,32,407481,8
26,27,422080,0,60,10,5,5,,6,0,0,left,300,4270,3730,37,417553,18
27,28,432052,0,60,2,5,5,,14,0,0,left,300,4161,3839,30,427626,14
28,29,442207,0,60,0,4,4,,2,0,0,right,300,4256,3744,10,437698,20
29,30,452146,0,60,0,5,5,,11,0,0,left,300,4148,3852,26,447736,6
30,31,462201,1,70,10,4,4,4,5,256,462457,right,300,4153,3847,26,457792,8
31,32,472224,0,70,2,5,5,,2,0,0,left,300,4157,3843,21,467814,8
32,33,482329,0,70,10,4,4,,14,0,0,right,300,4195,3805,50,477869,12
33,34,492484,0,70,0,4,4,,14,0,0,right,300,4261,3739,23,487958,17
34,35,502523,1,72,2,4,4,4,7,213,502736,right,300,4252,3748,36,498013,10
35,36,512628,0,72,10,5,5,,8,0,0,left,300,4367,3633,16,508002,15
36,37,522717,1,72,0,4,4,4,13,222,522939,right,300,4396,3604,23,518057,17
37,38,532438,0,72,2,4,4,,8,0,0,right,300,4133,3867,43,528046,11
38,39,542629,0,72,10,4,4,,2,0,0,right,300,4258,3742,45,538118,8
39,40,552833,1,72,0,5,5,5,9,217,553050,left,300,4383,3617,11,548190,4
40,41,562521,0,72,10,5,5,,6,0,0,left,300,4119,3881,22,558145,6
41,42,572626,1,74,2,5,5,5,8,277,572903,left,300,4167,3833,16,568200,11
42,43,582899,0,74,0,5,5,,11,0,0,left,300,4398,3602,49,578239,18
43,44,592704,0,74,0,4,4,,17,0,0,right,300,4108,3892,33,588328,18
44,45,602776,0,74,2,5,5,,2,0,0,left,300,4123,3877,26,598400,16
45,46,613215,0,74,0,4,4,,14,0,0,right,300,4495,3505,22,608455,7
46,47,623020,0,74,2,4,4,,10,0,0,right,300,4249,3751,33,618510,11
47,48,633009,1,74,0,5,5,5,15,216,633225,left,300,4161,3839,33,628582,17
48,49,642964,0,74,2,4,4,,13,0,0,right,300,4129,3871,14,638571,17
49,50,653221,0,74,0,5,5,,2,0,0,left,300,4342,3658,38,648626,19
50,51,663459,0,74,10,4,4,,11,0,0,right,300,4499,3501,38,658698,11
51,52,673113,0,74,2,5,5,,5,0,0,left,300,4087,3913,24,668770,12
52,53,683503,0,74,10,5,5,,5,0,0,left,300,4421,3579,47,678826,10
53,54,693475,0,74,0,5,5,,12,0,0,left,300,4297,3703,16,688915,20
54,55,703714,0,74,10,4,4,,17,0,0,right,300,4476,3524,30,698970,18
55,56,713351,0,74,2,5,5,,7,0,0,left,300,4068,3932,40,709025,3
56,57,723607,0,74,10,4,4,,10,0,0,right,300,4249,3751,27,719097,10
57,58,733696,0,74,2,4,4,,9,0,0,right,300,4283,3717,31,729153,7
58,59,743785,0,74,10,5,5,,8,0,0,left,300,4301,3699,12,739225,19
59,60,753623,0,74,2,4,4,,8,0,0,right,300,4101,3899,41,749263,4
60,61,764046,0,74,0,5,5,,17,0,0,left,300,4443,3557,24,759335,9
61,62,774118,0,74,10,4,4,,17,0,0,right,300,4459,3541,49,769391,9
62,63,784140,0,74,0,5,5,,2,0,0,left,300,4407,3593,18,779480,17
63,64,794279,1,84,10,5,5,5,6,271,794550,left,300,4487,3513,21,789535,15
64,65,803884,0,84,10,4,4,,2,0,0,right,300,4057,3943,18,799574,13
65,66,814373,0,84,2,4,4,,8,0,0,right,300,4485,3515,33,809629,15
