,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP:
0,4345,5,3675,27,1,,0,31,95882,,0,0,1,5,-999999,48,100541,5,200,100741,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10,
1,4023,5,4007,15,1,,0,55,105969,,0,0,1,5,-999999,3,110246,5,165,110411,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2,
2,4257,5,3783,21,1,,0,18,115908,,0,0,1,5,-999999,2,120418,5,173,120591,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10,
3,4297,4,3753,40,1,,0,29,125897,,0,0,1,4,-999999,28,130473,4,214,130687,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0,
4,4261,4,3789,42,1,,0,94,136036,,0,0,1,4,-999999,14,140562,4,166,140728,bigwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,250,5,1,5,10,
5,4463,5,3587,39,1,,0,42,146058,,0,0,1,5,-999999,13,150785,5,153,150938,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,6,1,6,0,
6,4376,4,3674,19,1,,0,28,156063,,0,0,1,4,-999999,17,160707,4,168,160875,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,7,1,7,2,
7,4359,4,3691,34,1,,0,14,166052,,0,0,1,4,-999999,17,170679,4,189,170868,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,8,1,8,0,
8,4314,5,3736,38,1,,0,16,176074,,0,0,1,5,-999999,12,180651,5,189,180840,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,9,1,9,10,
9,4165,5,3885,44,1,,0,12,186096,,0,0,1,5,-999999,11,190523,5,183,190706,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,10,1,10,0,
10,4293,4,3757,21,1,,0,7,196102,,0,0,1,4,-999999,16,200662,4,165,200827,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,11,1,11,2,
11,4071,4,3979,27,1,,0,13,206074,,0,0,1,4,-999999,4,210400,4,233,210633,nowinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,12,1,12,0,
12,4398,5,3652,49,1,,0,6,216112,,0,0,1,5,-999999,12,220773,5,188,220961,bigwinleft.bmp,left,TrialProc,TrialList,56,targetleft.bmp,left,250,13,1,13,10,
13,4231,4,3819,13,1,,0,18,226151,,0,0,1,4,-999999,11,230644,4,168,230812,smallwinright.bmp,right,TrialProc,TrialList,58,targetright.bmp,right,250,14,1,14,2,
14,4168,5,3882,28,1,,0,4,236123,,0,0,1,5,-999999,8,240550,5,179,240729,nowinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,250,15,1,15,0,
15,4378,5,3672,15,1,,0,6,246112,,0,0,1,5,-999999,14,250755,5,181,250936,smallwinleft.bmp,left,TrialProc,TrialList,60,targetleft.bmp,left,250,16,1,16,2,
16,4273,4,3777,26,1,,0,19,256101,,0,0,1,4,-999999,2,260627,4,182,260809,nowinright.bmp,right,TrialProc,TrialList,60,targetright.bmp,right,250,17,1,17,0,
17,4107,5,3943,34,1,,0,7,266089,,0,0,1,5,-999999,2,270449,5,203,270652,smallwinleft.bmp,left,TrialProc,TrialList,62,targetleft.bmp,left,250,18,1,18,2,
18,4310,4,3740,22,1,,0,16,276128,,0,0,1,4,-999999,16,280705,4,167,280872,bigwinright.bmp,right,TrialProc,TrialList,72,targetright.bmp,right,250,19,1,19,10,
19,4164,5,3886,22,1,,0,12,286117,,0,0,1,5,-999999,11,290543,5,178,290721,smallwinleft.bmp,left,TrialProc,TrialList,74,targetleft.bmp,left,250,20,1,20,2,
20,4275,4,3775,19,1,,0,11,296105,,0,0,1,4,-999999,2,300633,4,178,300811,nowinright.bmp,right,TrialProc,TrialList,74,targetright.bmp,right,250,21,1,21,0,
21,4496,5,3554,41,1,,0,13,306077,,0,0,1,5,-999999,14,310838,5,191,311029,smallwinleft.bmp,left,TrialProc,TrialList,76,targetleft.bmp,left,250,22,1,22,2,
22,4032,4,4018,22,1,,0,10,316100,,0,0,1,4,-999999,9,320392,4,187,320579,bigwinright.bmp,right,TrialProc,TrialList,86,targetright.bmp,right,250,23,1,23,10,
23,4143,4,3907,29,1,,0,11,326105,,0,0,1,4,-999999,16,330515,4,209,330724,smallwinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,250,24,1,24,2,
24,4142,5,3908,48,1,,0,4,336127,,0,0,1,5,-999999,17,340537,5,173,340710,bigwinleft.bmp,left,TrialProc,TrialList,98,targetleft.bmp,left,250,25,1,25,10,
25,4296,4,3754,15,1,,0,18,346149,,0,0,1,4,-999999,13,350709,4,179,350888,nowinright.bmp,right,TrialProc,TrialList,98,targetright.bmp,right,250,26,1,26,0,
26,4096,5,3954,22,1,,0,19,356138,,0,0,1,5,-999999,12,360497,5,179,360676,bigwinleft.bmp,left,TrialProc,TrialList,108,targetleft.bmp,left,250,27,1,27,10,
27,4312,5,3738,12,1,,0,12,366127,,0,0,1,5,-999999,13,370703,5,176,370879,smallwinleft.bmp,left,TrialProc,TrialList,110,targetleft.bmp,left,250,28,1,28,2,
28,4073,4,3977,50,1,,0,5,376099,,0,0,1,4,-999999,2,380425,4,190,380615,nowinright.bmp,right,TrialProc,TrialList,110,targetright.bmp,right,250,29,1,29,0,
29,4236,5,3814,41,1,,0,16,386137,,0,0,1,5,-999999,7,390631,5,214,390845,nowinleft.bmp,left,TrialProc,TrialList,110,targetleft.bmp,left,250,30,1,30,0,
30,4043,4,4007,20,1,,0,9,396176,,0,0,1,4,-999999,16,400486,4,155,400641,bigwinright.bmp,right,TrialProc,TrialList,120,targetright.bmp,right,250,31,1,31,10,
31,4345,5,3705,38,1,,0,13,406148,,0,0,1,5,-999999,14,410758,5,243,411001,smallwinleft.bmp,left,TrialProc,TrialList,122,targetleft.bmp,left,250,32,1,32,2,
32,4492,4,3558,17,1,,0,12,416220,,0,0,1,4,-999999,2,420965,4,175,421140,bigwinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,33,1,33,10,
33,4134,4,3916,10,1,,0,15,426192,,0,0,1,4,-999999,8,430585,4,188,430773,nowinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,34,1,34,0,
34,4444,4,3606,50,1,,0,7,436181,,0,0,1,4,-999999,15,440891,4,200,441091,smallwinright.bmp,right,TrialProc,TrialList,134,targetright.bmp,right,250,35,1,35,2,
35,4270,5,3780,31,1,,0,17,446220,,0,0,1,5,-999999,5,450746,5,181,450927,bigwinleft.bmp,left,TrialProc,TrialList,144,targetleft.bmp,left,250,36,1,36,10,
36,4335,4,3715,50,1,,0,19,456225,,0,0,1,4,-999999,8,460819,4,214,461033,nowinright.bmp,right,TrialProc,TrialList,144,targetright.bmp,right,250,37,1,37,0,
37,4434,4,3616,27,1,,0,17,466281,,0,0,1,4,-999999,8,470974,4,170,471144,smallwinright.bmp,right,TrialProc,TrialList,146,targetright.bmp,right,250,38,1,38,2,
38,4086,4,3964,45,1,,0,6,476269,,0,0,1,4,-999999,6,480612,4,175,480787,bigwinright.bmp,right,TrialProc,TrialList,156,targetright.bmp,right,250,39,1,39,10,
39,4495,5,3555,30,1,,0,5,486275,,0,0,1,5,-999999,14,491035,5,186,491221,nowinleft.bmp,left,TrialProc,TrialList,156,targetleft.bmp,left,250,40,1,40,0,
40,4268,5,3782,41,1,,0,3,496280,,0,0,1,5,-999999,8,500807,5,162,500969,bigwinleft.bmp,left,TrialProc,TrialList,166,targetleft.bmp,left,250,41,1,41,10,
41,4413,5,3637,26,1,,0,9,506269,,0,0,1,5,-999999,13,510946,5,181,511127,smallwinleft.bmp,left,TrialProc,TrialList,168,targetleft.bmp,left,250,42,1,42,2,
42,4196,5,3854,16,1,,0,8,516258,,0,0,1,5,-999999,12,520717,5,211,520928,nowinleft.bmp,left,TrialProc,TrialList,168,targetleft.bmp,left,250,43,1,43,0,
43,4316,4,3734,27,1,,0,18,526280,,0,0,1,4,-999999,9,530856,4,178,531034,nowinright.bmp,right,TrialProc,TrialList,168,targetright.bmp,right,250,44,1,44,0,
44,4032,5,4018,42,1,,0,6,536268,,0,0,1,5,-999999,10,540561,5,186,540747,smallwinleft.bmp,left,TrialProc,TrialList,170,targetleft.bmp,left,250,45,1,45,2,
45,4457,4,3593,44,1,,0,9,546291,,0,0,1,4,-999999,2,551001,4,168,551169,nowinright.bmp,right,TrialProc,TrialList,170,targetright.bmp,right,250,46,1,46,0,
46,4369,4,3681,24,1,,0,6,556296,,0,0,1,4,-999999,7,560923,4,190,561113,smallwinright.bmp,right,TrialProc,TrialList,172,targetright.bmp,right,250,47,1,47,2,
47,4041,5,4009,24,1,,0,9,566301,,0,0,1,5,-999999,2,570595,5,201,570796,nowinleft.bmp,left,TrialProc,TrialList,172,targetleft.bmp,left,250,48,1,48,0,
48,4075,4,3975,30,1,,0,9,576307,,0,0,1,4,-999999,17,580650,4,183,580833,smallwinright.bmp,right,TrialProc,TrialList,174,targetright.bmp,right,250,49,1,49,2,
49,4317,5,3733,42,1,,0,19,586312,,0,0,1,5,-999999,9,590889,5,188,591077,nowinleft.bmp,left,TrialProc,TrialList,174,targetleft.bmp,left,250,50,1,50,0,
50,4269,4,3781,24,1,,0,8,596334,,0,0,1,4,-999999,7,600861,4,199,601060,bigwinright.bmp,right,TrialProc,TrialList,184,targetright.bmp,right,250,51,1,51,10,
51,4074,5,3976,46,1,,0,10,606340,,0,0,0,5,0,2,610667,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,184,targetleft.bmp,left,250,52,1,52,2,
52,4147,5,3903,22,1,,0,4,616413,,0,0,1,5,-999999,12,620838,5,169,621007,bigwinleft.bmp,left,TrialProc,TrialList,194,targetleft.bmp,left,250,53,1,53,10,
53,4165,5,3885,32,1,,0,11,626417,,0,0,1,5,-999999,11,630844,5,192,631036,nowinleft.bmp,left,TrialProc,TrialList,194,targetleft.bmp,left,250,54,1,54,0,
54,4022,4,4028,23,1,,0,18,636439,,0,0,1,4,-999999,3,640715,4,184,640899,bigwinright.bmp,right,TrialProc,TrialList,204,targetright.bmp,right,250,55,1,55,10,
55,4182,5,3868,47,1,,0,11,646445,,0,0,1,5,-999999,10,650888,5,151,651039,smallwinleft.bmp,left,TrialProc,TrialList,206,targetleft.bmp,left,250,56,1,56,2,
56,4003,4,4047,26,1,,0,3,656433,,0,0,1,4,-999999,6,660693,4,155,660848,bigwinright.bmp,right,TrialProc,TrialList,216,targetright.bmp,right,250,57,1,57,10,
57,4074,4,3976,39,1,,0,7,666405,,0,0,1,4,-999999,2,670732,4,186,670918,smallwinright.bmp,right,TrialProc,TrialList,218,targetright.bmp,right,250,58,1,58,2,
58,4424,5,3626,34,1,,0,10,676411,,0,0,1,5,-999999,2,681088,5,173,681261,bigwinleft.bmp,left,TrialProc,TrialList,228,targetleft.bmp,left,250,59,1,59,10,
59,4176,4,3874,12,1,,0,16,686416,,0,0,1,4,-999999,16,690859,4,182,691041,smallwinright.bmp,right,TrialProc,TrialList,230,targetright.bmp,right,250,60,1,60,2,
60,4267,5,3783,40,1,,0,21,696405,,0,0,1,5,-999999,9,700932,5,166,701098,nowinleft.bmp,left,TrialProc,TrialList,230,targetleft.bmp,left,250,61,1,61,0,
61,4069,4,3981,25,1,,0,11,706394,,0,0,1,4,-999999,6,710720,4,190,710910,bigwinright.bmp,right,TrialProc,TrialList,240,targetright.bmp,right,250,62,1,62,10,
62,4224,5,3826,34,1,,0,8,716399,,0,0,1,5,-999999,2,720876,5,213,721089,nowinleft.bmp,left,TrialProc,TrialList,240,targetleft.bmp,left,250,63,1,63,0,
63,4419,5,3631,32,1,,0,16,726438,,0,0,1,5,-999999,7,731115,5,146,731261,bigwinleft.bmp,left,TrialProc,TrialList,250,targetleft.bmp,left,250,64,1,64,10,
64,4364,4,3686,39,1,,0,18,736410,,0,0,1,4,-999999,12,741037,4,173,741210,bigwinright.bmp,right,TrialProc,TrialList,260,targetright.bmp,right,250,65,1,65,10,
65,4365,4,3685,14,1,,0,11,746415,,0,0,1,4,-999999,11,751042,4,187,751229,smallwinright.bmp,right,TrialProc,TrialList,262,targetright.bmp,right,250,66,1,66,2,
