,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,134988,1,10,10,5,5,5,12,213,135201,left,280,4432,3588,39,130293,30
1,2,144742,1,12,2,5,5,5,8,201,144943,left,270,4134,3896,41,140349,28
2,3,154797,1,22,10,5,5,5,13,224,155021,left,260,4162,3878,17,150371,9
3,4,164819,1,22,0,4,4,4,23,205,165024,right,250,4135,3915,45,160410,17
4,5,175042,1,32,10,4,4,4,8,196,175238,right,250,4301,3749,47,170482,22
5,6,184914,1,32,0,5,5,5,8,197,185111,left,250,4118,3932,24,180537,36
6,7,195186,1,34,2,4,4,4,12,192,195378,right,250,4363,3687,20,190560,27
7,8,205025,1,34,0,4,4,4,6,194,205219,right,250,4203,3847,49,200565,13
8,9,215331,1,44,10,5,5,5,10,191,215522,left,250,4466,3584,27,210604,18
9,10,225220,1,44,0,5,5,5,5,225,225445,left,250,4355,3695,27,220609,6
10,11,235025,1,46,2,4,4,4,15,240,235265,right,250,4111,3939,29,230648,6
11,12,245448,1,46,0,4,4,4,11,203,245651,right,250,4482,3568,50,240704,5
12,13,255152,1,56,10,5,5,5,15,186,255338,left,250,4127,3923,30,250759,17
13,14,265158,1,58,2,4,4,4,13,184,265342,right,250,4129,3921,46,260765,4
14,15,275130,1,58,0,5,5,5,6,229,275359,left,250,4086,3964,37,270787,4
15,16,285369,0,58,2,5,5,,8,0,0,left,250,4268,3782,30,280842,13
16,17,295492,1,58,0,4,4,4,16,219,295711,right,250,4310,3740,27,290915,20
17,18,305330,1,60,2,5,5,5,10,207,305537,left,250,4115,3935,27,300954,7
18,19,315553,1,70,10,4,4,4,5,207,315760,right,250,4321,3729,34,310976,7
19,20,325358,1,72,2,5,5,5,11,234,325592,left,250,4081,3969,19,321015,16
20,21,335747,1,72,0,4,4,4,11,218,335965,right,250,4415,3635,44,331070,14
21,22,345586,1,74,2,5,5,5,7,204,345790,left,250,4202,3848,39,341126,6
22,23,355658,1,84,10,4,4,4,4,184,355842,right,250,4238,3812,23,351165,12
23,24,365713,0,84,2,4,4,,3,0,0,right,250,4289,3761,29,361170,10
24,25,375702,1,94,10,5,5,5,12,218,375920,left,250,4213,3837,30,371226,5
25,26,385591,1,94,0,4,4,4,13,182,385773,right,250,4063,3987,27,381264,3
26,27,395529,1,104,10,5,5,5,2,206,395735,left,250,4023,4027,16,391253,6
27,28,405819,1,106,2,5,5,5,17,231,406050,left,250,4276,3774,42,401275,17
28,29,415624,0,106,0,4,4,,3,0,0,right,250,4039,4011,42,411331,8
29,30,425696,1,106,0,5,5,5,12,224,425920,left,250,4030,4020,40,421403,8
30,31,436152,1,116,10,4,4,4,11,215,436367,right,250,4431,3619,33,431459,10
31,32,446225,1,118,2,5,5,5,5,245,446470,left,250,4471,3579,37,441498,17
32,33,456180,1,128,10,4,4,4,5,220,456400,right,250,4354,3696,29,451570,13
33,34,465935,1,128,0,4,4,4,3,216,466151,right,250,4072,3978,19,461609,5
34,35,476007,1,130,2,4,4,4,5,224,476231,right,250,4120,3930,16,471631,14
35,36,486414,1,140,10,5,5,5,10,230,486644,left,250,4483,3567,23,481670,18
36,37,496052,1,140,0,4,4,4,5,221,496273,right,250,4087,3963,40,491709,11
37,38,506141,1,142,2,4,4,4,8,210,506351,right,250,4118,3932,15,501764,10
38,39,516397,1,152,10,4,4,4,16,194,516591,right,250,4344,3706,44,511786,18
39,40,526519,1,152,0,5,5,5,16,226,526745,left,250,4443,3607,20,521809,7
40,41,536291,1,162,10,5,5,5,6,222,536513,left,250,4187,3863,44,531847,13
41,42,546179,1,164,2,5,5,5,2,232,546411,left,250,4023,4027,36,541903,6
42,43,556519,1,164,0,5,5,5,8,213,556732,left,250,4302,3748,18,551958,14
43,44,566374,0,164,0,4,4,,4,0,0,right,250,4138,3912,13,561981,16
44,45,576613,1,166,2,5,5,5,13,181,576794,left,250,4329,3721,21,572020,4
45,46,586752,1,166,0,4,4,4,12,228,586980,right,250,4481,3569,33,582008,12
46,47,596423,1,168,2,4,4,4,11,200,596623,right,250,4097,3953,40,592064,17
47,48,606579,1,168,0,5,5,5,13,220,606799,left,250,4229,3821,21,602086,10
48,49,616468,1,170,2,4,4,4,11,204,616672,right,250,4081,3969,10,612125,13
49,50,626874,1,170,0,5,5,5,15,210,627084,left,250,4478,3572,46,622130,6
50,51,636579,1,180,10,4,4,4,6,206,636785,right,250,4153,3897,47,632169,4
51,52,646584,1,182,2,5,5,5,4,219,646803,left,250,4104,3946,18,642225,20
52,53,656790,1,192,10,5,5,5,15,215,657005,left,250,4260,3790,33,652264,16
53,54,666796,1,192,0,5,5,5,9,215,667011,left,250,4234,3816,13,662302,17
54,55,677052,0,192,10,4,4,,4,0,0,right,250,4489,3561,46,672308,4
55,56,686873,1,194,2,5,5,5,3,219,687092,left,250,4239,3811,20,682380,4
56,57,696862,0,194,10,4,4,,3,0,0,right,250,4189,3861,10,692419,13
57,58,706817,1,196,2,4,4,4,15,184,707001,right,250,4093,3957,36,702458,7
58,59,716990,1,206,10,5,5,5,9,181,717171,left,250,4250,3800,23,712480,14
59,60,727129,1,208,2,4,4,4,9,194,727323,right,250,4400,3650,11,722469,11
60,61,737018,1,208,0,5,5,5,8,214,737232,left,250,4301,3749,19,732458,6
61,62,746856,1,218,10,4,4,4,2,212,747068,right,250,4123,3927,16,742480,15
62,63,757062,1,218,0,5,5,5,3,209,757271,left,250,4306,3744,10,752502,18
63,64,766950,1,228,10,5,5,5,11,199,767149,left,250,4181,3869,47,762507,6
64,65,777257,1,238,10,4,4,4,10,172,777429,right,250,4467,3583,34,772529,3
65,66,787245,1,240,2,4,4,4,7,216,787461,right,250,4452,3598,24,782535,16
