,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,494152,1,10,10,5,5,5,37,198,494350,left,280,4105,3915,33,489759,46
1,2,504309,1,12,2,5,5,5,2,171,504480,left,270,4241,3789,48,499815,34
2,3,514096,1,22,10,5,5,5,9,179,514275,left,260,4033,4007,49,509803,18
3,4,524537,0,22,0,4,4,,20,0,0,right,250,4457,3593,14,519809,18
4,5,534274,1,32,10,4,4,4,17,174,534448,right,250,4125,3925,43,529881,19
5,6,544480,0,32,0,5,5,,4,0,0,left,250,4305,3745,16,539920,40
6,7,554385,1,34,2,4,4,4,11,194,554579,right,250,4131,3919,18,549992,34
7,8,564390,0,34,0,4,4,,15,0,0,right,250,4127,3923,22,559997,15
8,9,574614,1,44,10,5,5,5,2,195,574809,left,260,4308,3732,49,570053,12
9,10,584652,0,44,0,5,5,,3,0,0,left,250,4323,3727,40,580075,18
10,11,594457,1,46,2,4,4,4,12,178,594635,right,260,4047,3993,45,590147,10
11,12,604646,0,46,0,4,4,,13,0,0,right,270,4230,3800,20,600152,5
12,13,614902,1,56,10,5,5,5,9,182,615084,left,280,4417,3603,13,610225,14
13,14,624807,1,58,2,4,4,4,13,188,624995,right,290,4380,3630,43,620163,3
14,15,634795,0,58,0,5,5,,7,0,0,left,300,4385,3615,32,630152,7
15,16,644884,0,58,2,5,5,,3,0,0,left,300,4406,3594,19,640224,18
16,17,654957,0,58,0,4,4,,10,0,0,right,300,4416,3584,41,650280,15
17,18,664962,1,60,2,5,5,5,15,163,665125,left,300,4344,3656,19,660352,9
18,19,674667,1,70,10,4,4,4,13,174,674841,right,300,4129,3871,29,670274,15
19,20,684605,1,72,2,5,5,5,16,170,684775,left,300,4126,3874,47,680212,4
20,21,694844,0,72,0,4,4,,10,0,0,right,300,4399,3601,40,690184,20
21,22,704783,1,74,2,5,5,5,9,183,704966,left,300,4267,3733,46,700256,10
22,23,714922,1,84,10,4,4,4,15,178,715100,right,300,4444,3556,23,710212,5
23,24,724894,0,84,2,4,4,,17,0,0,right,300,4476,3524,29,720150,10
24,25,734849,1,94,10,5,5,5,16,155,735004,left,300,4376,3624,34,730206,4
25,26,744454,0,94,0,4,4,,6,0,0,right,300,4053,3947,10,740144,16
26,27,754626,1,104,10,5,5,5,9,160,754786,left,300,4183,3817,39,750183,7
27,28,764565,1,106,2,5,5,5,11,186,764751,left,300,4181,3819,45,760122,12
28,29,774370,0,106,0,4,4,,6,0,0,right,300,4020,3980,29,770093,5
29,30,784909,0,106,0,5,5,,14,0,0,left,300,4495,3505,50,780149,4
30,31,794982,1,116,10,4,4,4,6,199,795181,right,300,4487,3513,31,790238,17
31,32,804904,0,116,2,5,5,,16,0,0,left,300,4427,3573,32,800210,19
32,33,814608,1,126,10,4,4,4,13,205,814813,right,300,4062,3938,30,810282,18
33,34,824680,0,126,0,4,4,,2,0,0,right,300,4156,3844,25,820271,20
34,35,834753,1,128,2,4,4,4,17,219,834972,right,300,4159,3841,26,830326,8
35,36,844958,1,138,10,5,5,5,13,173,845131,left,300,4379,3621,48,840315,7
36,37,854997,0,138,0,4,4,,13,0,0,right,300,4446,3554,10,850287,19
37,38,865036,1,140,2,4,4,4,14,179,865215,right,300,4445,3555,44,860326,7
38,39,874858,1,150,10,4,4,4,13,186,875044,right,300,4313,3687,40,870281,6
39,40,884930,0,150,0,5,5,,8,0,0,left,300,4418,3582,41,880253,10
40,41,894969,1,160,10,5,5,5,17,184,895153,left,300,4376,3624,33,890325,9
41,42,904991,1,162,2,5,5,5,14,164,905155,left,300,4429,3571,14,900297,17
42,43,914745,0,162,0,5,5,,12,0,0,left,300,4263,3737,21,910219,20
43,44,924534,0,162,0,4,4,,8,0,0,right,300,4001,3999,29,920274,12
44,45,934840,1,164,2,5,5,5,3,161,935001,left,300,4256,3744,43,930330,5
45,46,944912,1,164,0,4,4,4,15,297,945209,right,300,4378,3622,23,940268,7
46,47,954634,1,166,2,4,4,4,2,272,954906,right,300,4057,3943,27,950324,11
47,48,964622,1,166,0,5,5,5,4,217,964839,left,300,4004,3996,19,960363,7
48,49,975062,1,168,2,4,4,4,14,197,975259,right,300,4462,3538,42,970335,15
49,50,984750,0,168,0,5,5,,14,0,0,left,300,4178,3822,16,980307,9
50,51,994772,1,178,10,4,4,4,6,194,994966,right,300,4153,3847,38,990362,17
51,52,1004661,0,178,2,5,5,,2,0,0,left,300,4074,3926,44,1000334,12
52,53,1015133,1,188,10,5,5,5,9,176,1015309,left,300,4467,3533,11,1010406,6
53,54,1024839,0,188,0,5,5,,2,0,0,left,300,4258,3742,23,1020328,6
54,55,1034877,1,198,10,4,4,4,5,185,1035062,right,300,4237,3763,32,1030384,11
55,56,1044749,1,200,2,5,5,5,2,200,1044949,left,300,4141,3859,15,1040355,18
56,57,1054670,1,210,10,4,4,4,5,197,1054867,right,300,4120,3880,24,1050294,17
57,58,1064527,1,212,2,4,4,4,2,227,1064754,right,300,4025,3975,35,1060249,9
58,59,1074714,1,222,10,5,5,5,12,188,1074902,left,300,4213,3787,26,1070238,15
59,60,1084453,1,224,2,4,4,4,4,201,1084654,right,300,4005,3995,21,1080193,7
60,61,1094775,0,224,0,5,5,,13,0,0,left,300,4346,3654,26,1090165,12
61,62,1104781,1,234,10,4,4,4,9,181,1104962,right,300,4300,3700,35,1100221,8
62,63,1114920,0,234,0,5,5,,14,0,0,left,300,4479,3521,33,1110176,15
63,64,1124942,1,244,10,5,5,5,6,195,1125137,left,300,4437,3563,27,1120248,17
64,65,1134546,1,254,10,4,4,4,4,200,1134746,right,300,4088,3912,28,1130203,6
65,66,1144502,1,256,2,4,4,4,10,250,1144752,right,300,4082,3918,38,1140159,6
