,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP:,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP
0,4073,5,3947,34,1,,0,62,305322,,0,0,0,5,0,53,309699,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10,
1,4155,5,3855,33,1,,0,50,315495,,0,0,0,5,0,3,319904,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,290,2,1,2,2,
2,4229,5,3771,43,1,,0,17,325567,,0,0,0,5,0,13,330060,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,300,3,1,3,10,
3,4309,4,3691,15,1,,0,24,335656,,0,0,0,4,0,18,340234,,0,0,nowinright.bmp,right,TrialProc,TrialList,0,targetright.bmp,right,300,4,1,4,0,
4,4081,4,3919,43,1,,0,18,345728,,0,0,0,4,0,11,350071,,0,0,bigwinright.bmp,right,TrialProc,TrialList,0,targetright.bmp,right,300,5,1,5,10,
5,4300,5,3700,11,1,,0,41,355834,,0,0,0,5,0,9,360394,,0,0,nowinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,300,6,1,6,0,
6,4126,4,3874,40,1,,0,39,365906,,0,0,1,4,-999999,16,370299,,208,370507,smallwinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,7,1,7,2,4
7,4093,4,3907,45,1,,0,10,375895,,0,0,0,4,0,16,380255,,0,0,nowinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,8,1,8,0,
8,4301,5,3699,46,1,,0,5,385967,,0,0,1,5,-999999,8,390527,,177,390704,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,9,1,9,10,5
9,4130,5,3870,43,1,,0,5,395923,,0,0,0,5,0,12,400316,,0,0,nowinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,10,1,10,0,
10,4364,4,3636,18,1,,0,7,405995,,0,0,1,4,-999999,12,410622,,191,410813,smallwinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,300,11,1,11,2,4
11,4273,4,3727,41,1,,0,15,415950,,0,0,0,4,0,3,420477,,0,0,nowinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,300,12,1,12,0,
12,4056,5,3944,12,1,,0,9,426022,,0,0,1,5,-999999,3,430332,,213,430545,bigwinleft.bmp,left,TrialProc,TrialList,24,targetleft.bmp,left,300,13,1,13,10,5
13,4477,4,3523,38,1,,0,5,435978,,0,0,1,4,-999999,16,440722,,196,440918,smallwinright.bmp,right,TrialProc,TrialList,26,targetright.bmp,right,300,14,1,14,2,4
14,4105,5,3895,22,1,,0,12,445950,,0,0,0,5,0,3,450309,,0,0,nowinleft.bmp,left,TrialProc,TrialList,26,targetleft.bmp,left,300,15,1,15,0,
15,4259,5,3741,49,1,,0,11,456005,,0,0,1,5,-999999,2,460517,,192,460709,smallwinleft.bmp,left,TrialProc,TrialList,28,targetleft.bmp,left,300,16,1,16,2,5
16,4056,4,3944,24,1,,0,17,465977,,0,0,0,4,0,3,470287,,0,0,nowinright.bmp,right,TrialProc,TrialList,28,targetright.bmp,right,300,17,1,17,0,
17,4077,5,3923,49,1,,0,9,476033,,0,0,1,5,-999999,15,480376,,193,480569,smallwinleft.bmp,left,TrialProc,TrialList,30,targetleft.bmp,left,300,18,1,18,2,5
18,4157,4,3843,50,1,,0,18,486022,,0,0,1,4,-999999,2,490432,,191,490623,bigwinright.bmp,right,TrialProc,TrialList,40,targetright.bmp,right,300,19,1,19,10,4
19,4126,5,3874,47,1,,0,17,496011,,0,0,1,5,-999999,16,500404,,253,500657,smallwinleft.bmp,left,TrialProc,TrialList,42,targetleft.bmp,left,300,20,1,20,2,5
20,4103,4,3897,23,1,,0,20,506066,,0,0,0,4,0,6,510426,,0,0,nowinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,300,21,1,21,0,
21,4168,5,3832,31,1,,0,11,516122,,0,0,1,5,-999999,7,520548,,178,520726,smallwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,300,22,1,22,2,5
22,4016,4,3984,37,1,,0,19,526077,,0,0,1,4,-999999,9,530353,,222,530575,bigwinright.bmp,right,TrialProc,TrialList,54,targetright.bmp,right,300,23,1,23,10,4
23,4261,4,3739,38,1,,0,14,536083,,0,0,1,4,-999999,14,540609,,179,540788,smallwinright.bmp,right,TrialProc,TrialList,56,targetright.bmp,right,300,24,1,24,2,4
24,4115,5,3885,32,1,,0,12,546038,,0,0,1,5,-999999,10,550414,,207,550621,bigwinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,300,25,1,25,10,5
25,4341,4,3659,43,1,,0,18,556027,,0,0,0,4,0,2,560621,,0,0,nowinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,300,26,1,26,0,
26,4372,5,3628,29,1,,0,7,566099,,0,0,1,5,-999999,4,570726,,182,570908,bigwinleft.bmp,left,TrialProc,TrialList,76,targetleft.bmp,left,300,27,1,27,10,5
27,4096,5,3904,42,1,,0,5,576038,,0,0,1,5,-999999,12,580397,,199,580596,smallwinleft.bmp,left,TrialProc,TrialList,78,targetleft.bmp,left,300,28,1,28,2,5
28,4433,4,3567,25,1,,0,8,586010,,0,0,0,4,0,9,590703,,0,0,nowinright.bmp,right,TrialProc,TrialList,78,targetright.bmp,right,300,29,1,29,0,
29,4041,5,3959,32,1,,0,8,596065,,0,0,0,5,0,2,600359,,0,0,nowinleft.bmp,left,TrialProc,TrialList,78,targetleft.bmp,left,300,30,1,30,0,
30,4251,4,3749,33,1,,0,17,606121,,0,0,1,4,-999999,8,610631,,161,610792,bigwinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,300,31,1,31,10,4
31,4469,5,3531,47,1,,0,17,616059,,0,0,1,5,-999999,8,620787,,109,620896,smallwinleft.bmp,left,TrialProc,TrialList,90,targetleft.bmp,left,300,32,1,32,2,5
32,4227,4,3773,30,1,,0,20,625965,,0,0,1,4,-999999,15,630458,,259,630717,bigwinright.bmp,right,TrialProc,TrialList,100,targetright.bmp,right,300,33,1,33,10,4
33,4179,4,3821,50,1,,0,4,635987,,0,0,0,4,0,13,640430,,0,0,nowinright.bmp,right,TrialProc,TrialList,100,targetright.bmp,right,300,34,1,34,0,
34,4200,4,3800,45,1,,0,17,646076,,0,0,1,4,-999999,9,650536,,163,650699,smallwinright.bmp,right,TrialProc,TrialList,102,targetright.bmp,right,300,35,1,35,2,4
35,4499,5,3501,37,1,,0,5,656014,,0,0,1,5,-999999,11,660775,,167,660942,bigwinleft.bmp,left,TrialProc,TrialList,112,targetleft.bmp,left,300,36,1,36,10,5
36,4082,4,3918,30,1,,0,13,665953,,0,0,0,4,0,10,670296,,0,0,nowinright.bmp,right,TrialProc,TrialList,112,targetright.bmp,right,300,37,1,37,0,
37,4394,4,3606,37,1,,0,4,676009,,0,0,1,4,-999999,15,680669,,150,680819,smallwinright.bmp,right,TrialProc,TrialList,114,targetright.bmp,right,300,38,1,38,2,4
38,4425,4,3575,10,1,,0,13,685931,,0,0,1,4,-999999,2,690609,,189,690798,bigwinright.bmp,right,TrialProc,TrialList,124,targetright.bmp,right,300,39,1,39,10,4
39,4106,5,3894,12,1,,0,6,695853,,0,0,0,5,0,2,700212,,0,0,nowinleft.bmp,left,TrialProc,TrialList,124,targetleft.bmp,left,300,40,1,40,0,
40,4074,5,3926,23,1,,0,4,705891,,0,0,1,5,-999999,2,710218,,200,710418,bigwinleft.bmp,left,TrialProc,TrialList,134,targetleft.bmp,left,300,41,1,41,10,5
41,4011,5,3989,47,1,,0,9,715830,,0,0,1,5,-999999,14,720106,,190,720296,smallwinleft.bmp,left,TrialProc,TrialList,136,targetleft.bmp,left,300,42,1,42,2,5
42,4393,5,3607,44,1,,0,3,725802,,0,0,0,5,0,16,730462,,0,0,nowinleft.bmp,left,TrialProc,TrialList,136,targetleft.bmp,left,300,43,1,43,0,
43,4050,4,3950,39,1,,0,6,735874,,0,0,0,4,0,9,740184,,0,0,nowinright.bmp,right,TrialProc,TrialList,136,targetright.bmp,right,300,44,1,44,0,
44,4050,5,3950,32,1,,0,11,745947,,0,0,1,5,-999999,8,750256,,180,750436,smallwinleft.bmp,left,TrialProc,TrialList,138,targetleft.bmp,left,300,45,1,45,2,5
45,4398,4,3602,49,1,,0,18,755902,,0,0,0,4,0,11,760562,,0,0,nowinright.bmp,right,TrialProc,TrialList,138,targetright.bmp,right,300,46,1,46,0,
46,4143,4,3857,33,1,,0,18,765991,,0,0,1,4,-999999,16,770401,,179,770580,smallwinright.bmp,right,TrialProc,TrialList,140,targetright.bmp,right,300,47,1,47,2,4
47,4266,5,3734,40,1,,0,17,775946,,0,0,0,5,0,10,780473,,0,0,nowinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,300,48,1,48,0,
48,4217,4,3783,32,1,,0,10,786019,,0,0,0,4,0,8,790495,,0,0,smallwinright.bmp,right,TrialProc,TrialList,140,targetright.bmp,right,300,49,1,49,2,
49,4141,5,3859,21,1,,0,18,796091,,0,0,0,5,0,2,800485,,0,0,nowinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,300,50,1,50,0,
