,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,187259,0,0,10,5,5,,47,0,0,left,280,4028,3992,48,182933,47
1,2,197448,0,0,2,5,5,,9,0,0,left,290,4099,3911,13,193089,35
2,3,207838,1,10,10,5,5,5,12,185,208023,left,300,4431,3569,35,203144,4
3,4,217693,1,10,0,4,4,4,13,222,217915,right,300,4297,3703,17,213132,31
4,5,227714,1,20,10,4,4,4,3,196,227910,right,300,4306,3694,30,223138,33
5,6,237653,1,20,0,5,5,5,12,182,237835,left,300,4247,3753,50,233143,37
6,7,247575,1,22,2,4,4,4,8,192,247767,right,290,4184,3826,25,243132,34
7,8,257797,1,22,0,4,4,4,4,185,257982,right,280,4438,3582,10,253104,9
8,9,267468,0,22,10,5,5,,15,0,0,left,270,4143,3887,43,263059,7
9,10,277424,1,22,0,5,5,5,13,209,277633,left,260,4013,4027,42,273147,7
10,11,287813,0,22,2,4,4,,7,0,0,right,250,4369,3681,13,283186,8
11,12,297969,1,22,0,4,4,4,5,186,298155,right,260,4488,3552,31,293225,4
12,13,307641,1,32,10,5,5,5,2,180,307821,left,250,4158,3892,48,303230,19
13,14,317729,1,34,2,4,4,4,3,188,317917,right,250,4240,3810,14,313235,17
14,15,327667,1,34,0,5,5,5,2,196,327863,left,250,4173,3877,23,323241,20
15,16,337839,1,36,2,5,5,5,8,190,338029,left,250,4334,3716,22,333246,10
16,17,347694,1,36,0,4,4,4,9,231,347925,right,250,4183,3867,43,343251,11
17,18,357967,1,38,2,5,5,5,7,36,358003,left,250,4402,3648,43,353307,7
18,19,367488,0,38,10,4,4,,15,0,0,right,250,4044,4006,36,363178,7
19,20,377744,1,40,2,5,5,5,7,222,377966,left,250,4236,3814,31,373250,14
20,21,388033,1,40,0,4,4,4,7,191,388224,right,250,4469,3581,12,383306,19
21,22,397604,1,42,2,5,5,5,3,175,397779,left,250,4056,3994,47,393294,4
22,23,408060,1,52,10,4,4,4,8,194,408254,right,250,4485,3565,19,403316,19
23,24,417599,1,54,2,4,4,4,2,187,417786,right,250,4024,4026,13,413322,15
24,25,427904,1,64,10,5,5,5,6,202,428106,left,250,4337,3713,46,423310,19
25,26,437642,1,64,0,4,4,4,2,218,437860,right,250,4040,4010,27,433349,4
26,27,448131,1,74,10,5,5,5,7,204,448335,left,250,4485,3565,13,443388,7
27,28,457752,1,76,2,5,5,5,13,244,457996,left,250,4095,3955,28,453393,4
28,29,467808,1,76,0,4,4,4,3,230,468038,right,250,4106,3944,24,463448,5
29,30,478097,0,76,0,5,5,,10,0,0,left,250,4349,3701,25,473487,9
30,31,487919,1,86,10,4,4,4,10,184,488103,right,250,4116,3934,13,483542,8
31,32,498091,1,88,2,5,5,5,17,209,498300,left,250,4292,3758,14,493531,4
32,33,507979,1,98,10,4,4,4,4,181,508160,right,250,4171,3879,45,503553,19
33,34,518185,1,98,0,4,4,4,14,99,518284,right,250,4362,3688,36,513558,5
34,35,528040,1,100,2,4,4,4,9,201,528241,right,250,4300,3750,28,523480,14
35,36,537978,1,110,10,5,5,5,7,194,538172,left,250,4218,3832,15,533502,6
36,37,548050,1,110,0,4,4,4,10,185,548235,right,250,4282,3768,35,543507,18
37,38,557922,1,112,2,4,4,4,13,234,558156,right,250,4129,3921,15,553529,15
38,39,568261,1,122,10,4,4,4,10,193,568454,right,250,4432,3618,19,563568,19
39,40,577916,1,122,0,5,5,5,5,247,578163,left,250,4087,3963,17,573573,14
40,41,587921,1,132,10,5,5,5,7,216,588137,left,250,4034,4016,14,583629,17
41,42,598311,1,134,2,5,5,5,11,214,598525,left,250,4399,3651,39,593650,19
42,43,608116,1,134,0,5,5,5,13,195,608311,left,250,4163,3887,28,603689,11
43,44,618388,1,134,0,4,4,4,5,208,618596,right,250,4438,3612,36,613694,5
44,45,628109,1,136,2,5,5,5,14,249,628358,left,250,4111,3939,29,623733,14
45,46,638533,1,136,0,4,4,4,2,194,638727,right,250,4491,3559,22,633789,5
46,47,648237,1,138,2,4,4,4,17,241,648478,right,250,4175,3875,30,643794,12
47,48,658359,1,138,0,5,5,5,8,184,658543,left,250,4234,3816,34,653866,19
48,49,668364,1,140,2,4,4,4,4,197,668561,right,250,4221,3829,10,663888,16
49,50,678620,1,140,0,5,5,5,7,194,678814,left,250,4486,3564,35,673876,6
50,51,688525,1,150,10,4,4,4,12,193,688718,right,250,4364,3686,25,683898,15
51,52,698365,1,152,2,5,5,5,2,200,698565,left,250,4208,3842,34,693904,9
52,53,708436,1,162,10,5,5,5,3,196,708632,left,250,4256,3794,27,703926,15
53,54,718658,1,162,0,5,5,5,10,209,718867,left,250,4466,3584,15,713931,6
54,55,728429,1,172,10,4,4,4,4,206,728635,right,250,4221,3829,42,723953,18
55,56,738669,1,174,2,5,5,5,13,210,738879,left,250,4413,3637,28,733992,8
56,57,748707,1,184,10,4,4,4,8,157,748864,right,250,4434,3616,49,744014,6
57,58,758562,1,186,2,4,4,4,16,183,758745,right,250,4276,3774,12,754019,18
58,59,768267,1,196,10,5,5,5,4,207,768474,left,250,4021,4029,11,763991,5
59,60,778723,1,198,2,4,4,4,15,179,778902,right,250,4461,3589,10,773996,6
60,61,788344,1,198,0,5,5,5,16,188,788532,left,250,4109,3941,47,783968,7
61,62,798433,1,208,10,4,4,4,10,192,798625,right,250,4182,3868,48,793990,3
62,63,808305,1,208,0,5,5,5,17,228,808533,left,250,4008,4042,20,804029,19
63,64,818794,1,218,10,5,5,5,3,173,818967,left,250,4473,3577,43,814067,12
