,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP:
0,4332,5,3688,34,1,,0,13,76637,,0,0,1,5,-999999,11,81231,5,169,81400,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10,
1,4474,5,3556,45,1,,0,16,86609,,0,0,1,5,-999999,2,91336,5,222,91558,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2,
2,4041,5,3999,49,1,,0,5,96631,,0,0,1,5,-999999,2,100925,5,192,101117,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10,
3,4298,4,3752,38,1,,0,17,106653,,0,0,1,4,-999999,11,111213,4,171,111384,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0,
4,4468,4,3582,21,1,,0,12,116659,,0,0,1,4,-999999,8,121386,4,249,121635,bigwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,250,5,1,5,10,
5,4077,5,3973,44,1,,0,12,126714,,0,0,1,5,-999999,15,131057,5,201,131258,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,6,1,6,0,
6,4195,4,3855,49,1,,0,6,136753,,0,0,1,4,-999999,14,141213,4,170,141383,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,7,1,7,2,
7,4294,4,3756,26,1,,0,18,146775,,0,0,1,4,-999999,15,151335,4,202,151537,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,8,1,8,0,
8,4312,5,3738,28,1,,0,7,156797,,0,0,1,5,-999999,14,161374,5,172,161546,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,9,1,9,10,
9,4098,5,3952,50,1,,0,6,166786,,0,0,0,5,0,10,171145,,0,0,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,10,1,10,0,
10,4286,4,3764,26,1,,0,16,176874,,0,0,1,4,-999999,7,181418,4,188,181606,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,11,1,11,2,
11,4462,4,3588,29,1,,0,8,186880,,0,0,0,4,0,14,191607,,0,0,nowinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,12,1,12,0,
12,4260,5,3790,30,1,,0,4,196935,,0,0,1,5,-999999,16,201462,5,199,201661,bigwinleft.bmp,left,TrialProc,TrialList,56,targetleft.bmp,left,250,13,1,13,10,
13,4035,4,4015,36,1,,0,4,206941,,0,0,1,4,-999999,6,211233,4,159,211392,smallwinright.bmp,right,TrialProc,TrialList,58,targetright.bmp,right,250,14,1,14,2,
14,4496,5,3554,25,1,,0,14,216929,,0,0,1,5,-999999,14,221690,5,211,221901,nowinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,250,15,1,15,0,
15,4072,5,3978,23,1,,0,8,226951,,0,0,1,5,-999999,3,231277,5,182,231459,smallwinleft.bmp,left,TrialProc,TrialList,60,targetleft.bmp,left,250,16,1,16,2,
16,4107,4,3943,32,1,,0,10,236940,,0,0,0,4,0,2,241300,,0,0,nowinright.bmp,right,TrialProc,TrialList,60,targetright.bmp,right,250,17,1,17,0,
17,4333,5,3717,38,1,,0,18,247012,,0,0,1,5,-999999,10,251606,5,149,251755,smallwinleft.bmp,left,TrialProc,TrialList,62,targetleft.bmp,left,250,18,1,18,2,
18,4294,4,3756,46,1,,0,12,256984,,0,0,1,4,-999999,15,261544,4,153,261697,bigwinright.bmp,right,TrialProc,TrialList,72,targetright.bmp,right,250,19,1,19,10,
19,4149,5,3901,19,1,,0,4,266973,,0,0,1,5,-999999,8,271382,5,185,271567,smallwinleft.bmp,left,TrialProc,TrialList,74,targetleft.bmp,left,250,20,1,20,2,
20,4031,4,4019,36,1,,0,14,276978,,0,0,1,4,-999999,11,281271,4,212,281483,nowinright.bmp,right,TrialProc,TrialList,74,targetright.bmp,right,250,21,1,21,0,
21,4304,5,3746,14,1,,0,14,287017,,0,0,1,5,-999999,5,291577,5,163,291740,smallwinleft.bmp,left,TrialProc,TrialList,76,targetleft.bmp,left,250,22,1,22,2,
22,4363,4,3687,14,1,,0,3,296972,,0,0,1,4,-999999,13,301599,4,163,301762,bigwinright.bmp,right,TrialProc,TrialList,86,targetright.bmp,right,250,23,1,23,10,
23,4388,4,3662,49,1,,0,19,306944,,0,0,1,4,-999999,4,311587,4,221,311808,smallwinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,250,24,1,24,2,
24,4299,5,3751,29,1,,0,18,317016,,0,0,1,5,-999999,10,321576,5,10,321586,bigwinleft.bmp,left,TrialProc,TrialList,98,targetleft.bmp,left,250,25,1,25,10,
25,4323,4,3727,12,1,,0,5,326838,,0,0,1,4,-999999,2,331414,4,175,331589,nowinright.bmp,right,TrialProc,TrialList,98,targetright.bmp,right,250,26,1,26,0,
26,4121,5,3929,45,1,,0,5,336810,,0,0,1,5,-999999,4,341186,5,189,341375,bigwinleft.bmp,left,TrialProc,TrialList,108,targetleft.bmp,left,250,27,1,27,10,
27,4316,5,3734,32,1,,0,5,346832,,0,0,0,5,0,9,351408,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,108,targetleft.bmp,left,250,28,1,28,2,
28,4086,4,3964,48,1,,0,18,356904,,0,0,1,4,-999999,6,361247,4,167,361414,nowinright.bmp,right,TrialProc,TrialList,108,targetright.bmp,right,250,29,1,29,0,
29,4034,5,4016,16,1,,0,19,366909,,0,0,1,5,-999999,8,371202,5,199,371401,nowinleft.bmp,left,TrialProc,TrialList,108,targetleft.bmp,left,250,30,1,30,0,
30,4477,4,3573,17,1,,0,17,376914,,0,0,1,4,-999999,16,381658,4,169,381827,bigwinright.bmp,right,TrialProc,TrialList,118,targetright.bmp,right,250,31,1,31,10,
31,4394,5,3656,22,1,,0,16,386903,,0,0,1,5,-999999,15,391563,5,172,391735,smallwinleft.bmp,left,TrialProc,TrialList,120,targetleft.bmp,left,250,32,1,32,2,
32,4434,4,3616,45,1,,0,12,396892,,0,0,1,4,-999999,8,401585,4,166,401751,bigwinright.bmp,right,TrialProc,TrialList,130,targetright.bmp,right,250,33,1,33,10,
33,4339,4,3711,47,1,,0,5,406880,,0,0,1,4,-999999,4,411474,4,208,411682,nowinright.bmp,right,TrialProc,TrialList,130,targetright.bmp,right,250,34,1,34,0,
34,4210,4,3840,40,1,,0,3,416919,,0,0,1,4,-999999,16,421396,4,177,421573,smallwinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,35,1,35,2,
35,4433,5,3617,37,1,,0,10,426924,,0,0,1,5,-999999,10,431618,5,167,431785,bigwinleft.bmp,left,TrialProc,TrialList,142,targetleft.bmp,left,250,36,1,36,10,
36,4385,4,3665,21,1,,0,13,436913,,0,0,1,4,-999999,8,441557,4,183,441740,nowinright.bmp,right,TrialProc,TrialList,142,targetright.bmp,right,250,37,1,37,0,
37,4156,4,3894,36,1,,0,13,446902,,0,0,1,4,-999999,2,451311,4,181,451492,smallwinright.bmp,right,TrialProc,TrialList,144,targetright.bmp,right,250,38,1,38,2,
38,4187,4,3863,25,1,,0,14,456907,,0,0,1,4,-999999,5,461350,4,184,461534,bigwinright.bmp,right,TrialProc,TrialList,154,targetright.bmp,right,250,39,1,39,10,
39,4396,5,3654,50,1,,0,9,466896,,0,0,1,5,-999999,13,471556,5,152,471708,nowinleft.bmp,left,TrialProc,TrialList,154,targetleft.bmp,left,250,40,1,40,0,
40,4037,5,4013,22,1,,0,17,476901,,0,0,1,5,-999999,5,481194,5,180,481374,bigwinleft.bmp,left,TrialProc,TrialList,164,targetleft.bmp,left,250,41,1,41,10,
41,4259,5,3791,12,1,,0,12,486890,,0,0,1,5,-999999,16,491416,5,234,491650,smallwinleft.bmp,left,TrialProc,TrialList,166,targetleft.bmp,left,250,42,1,42,2,
42,4245,5,3805,32,1,,0,5,496912,,0,0,1,5,-999999,14,501422,5,175,501597,nowinleft.bmp,left,TrialProc,TrialList,166,targetleft.bmp,left,250,43,1,43,0,
43,4366,4,3684,21,1,,0,18,506917,,0,0,1,4,-999999,10,511544,4,200,511744,nowinright.bmp,right,TrialProc,TrialList,166,targetright.bmp,right,250,44,1,44,0,
44,4129,5,3921,19,1,,0,12,516939,,0,0,1,5,-999999,13,521332,5,178,521510,smallwinleft.bmp,left,TrialProc,TrialList,168,targetleft.bmp,left,250,45,1,45,2,
45,4073,4,3977,46,1,,0,15,526928,,0,0,1,4,-999999,2,531254,4,161,531415,nowinright.bmp,right,TrialProc,TrialList,168,targetright.bmp,right,250,46,1,46,0,
46,4071,4,3979,16,1,,0,4,536916,,0,0,1,4,-999999,5,541243,4,200,541443,smallwinright.bmp,right,TrialProc,TrialList,170,targetright.bmp,right,250,47,1,47,2,
