,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,309699,0,0,10,5,5,,53,0,0,left,280,4073,3947,34,305322,62
1,2,319904,0,0,2,5,5,,3,0,0,left,290,4155,3855,33,315495,50
2,3,330060,0,0,10,5,5,,13,0,0,left,300,4229,3771,43,325567,17
3,4,340234,0,0,0,4,4,,18,0,0,right,300,4309,3691,15,335656,24
4,5,350071,0,0,10,4,4,,11,0,0,right,300,4081,3919,43,345728,18
5,6,360394,0,0,0,5,5,,9,0,0,left,300,4300,3700,11,355834,41
6,7,370299,1,2,2,4,4,4,16,208,370507,right,300,4126,3874,40,365906,39
7,8,380255,0,2,0,4,4,,16,0,0,right,300,4093,3907,45,375895,10
8,9,390527,1,12,10,5,5,5,8,177,390704,left,300,4301,3699,46,385967,5
9,10,400316,0,12,0,5,5,,12,0,0,left,300,4130,3870,43,395923,5
10,11,410622,1,14,2,4,4,4,12,191,410813,right,300,4364,3636,18,405995,7
11,12,420477,0,14,0,4,4,,3,0,0,right,300,4273,3727,41,415950,15
12,13,430332,1,24,10,5,5,5,3,213,430545,left,300,4056,3944,12,426022,9
13,14,440722,1,26,2,4,4,4,16,196,440918,right,300,4477,3523,38,435978,5
14,15,450309,0,26,0,5,5,,3,0,0,left,300,4105,3895,22,445950,12
15,16,460517,1,28,2,5,5,5,2,192,460709,left,300,4259,3741,49,456005,11
16,17,470287,0,28,0,4,4,,3,0,0,right,300,4056,3944,24,465977,17
17,18,480376,1,30,2,5,5,5,15,193,480569,left,300,4077,3923,49,476033,9
18,19,490432,1,40,10,4,4,4,2,191,490623,right,300,4157,3843,50,486022,18
19,20,500404,1,42,2,5,5,5,16,253,500657,left,300,4126,3874,47,496011,17
20,21,510426,0,42,0,4,4,,6,0,0,right,300,4103,3897,23,506066,20
21,22,520548,1,44,2,5,5,5,7,178,520726,left,300,4168,3832,31,516122,11
22,23,530353,1,54,10,4,4,4,9,222,530575,right,300,4016,3984,37,526077,19
23,24,540609,1,56,2,4,4,4,14,179,540788,right,300,4261,3739,38,536083,14
24,25,550414,1,66,10,5,5,5,10,207,550621,left,300,4115,3885,32,546038,12
25,26,560621,0,66,0,4,4,,2,0,0,right,300,4341,3659,43,556027,18
26,27,570726,1,76,10,5,5,5,4,182,570908,left,300,4372,3628,29,566099,7
27,28,580397,1,78,2,5,5,5,12,199,580596,left,300,4096,3904,42,576038,5
28,29,590703,0,78,0,4,4,,9,0,0,right,300,4433,3567,25,586010,8
29,30,600359,0,78,0,5,5,,2,0,0,left,300,4041,3959,32,596065,8
30,31,610631,1,88,10,4,4,4,8,161,610792,right,300,4251,3749,33,606121,17
31,32,620787,1,90,2,5,5,5,8,109,620896,left,300,4469,3531,47,616059,17
32,33,630458,1,100,10,4,4,4,15,259,630717,right,300,4227,3773,30,625965,20
33,34,640430,0,100,0,4,4,,13,0,0,right,300,4179,3821,50,635987,4
34,35,650536,1,102,2,4,4,4,9,163,650699,right,300,4200,3800,45,646076,17
35,36,660775,1,112,10,5,5,5,11,167,660942,left,300,4499,3501,37,656014,5
36,37,670296,0,112,0,4,4,,10,0,0,right,300,4082,3918,30,665953,13
37,38,680669,1,114,2,4,4,4,15,150,680819,right,300,4394,3606,37,676009,4
38,39,690609,1,124,10,4,4,4,2,189,690798,right,300,4425,3575,10,685931,13
39,40,700212,0,124,0,5,5,,2,0,0,left,300,4106,3894,12,695853,6
40,41,710218,1,134,10,5,5,5,2,200,710418,left,300,4074,3926,23,705891,4
41,42,720106,1,136,2,5,5,5,14,190,720296,left,300,4011,3989,47,715830,9
42,43,730462,0,136,0,5,5,,16,0,0,left,300,4393,3607,44,725802,3
43,44,740184,0,136,0,4,4,,9,0,0,right,300,4050,3950,39,735874,6
44,45,750256,1,138,2,5,5,5,8,180,750436,left,300,4050,3950,32,745947,11
45,46,760562,0,138,0,4,4,,11,0,0,right,300,4398,3602,49,755902,18
46,47,770401,1,140,2,4,4,4,16,179,770580,right,300,4143,3857,33,765991,18
47,48,780473,0,140,0,5,5,,10,0,0,left,300,4266,3734,40,775946,17
48,49,790495,0,140,2,4,4,,8,0,0,right,300,4217,3783,32,786019,10
49,50,800485,0,140,0,5,5,,2,0,0,left,300,4141,3859,21,796091,18
50,51,810423,0,140,10,4,4,,3,0,0,right,300,4022,3978,10,806147,13
51,52,820796,1,142,2,5,5,5,7,183,820979,left,300,4353,3647,28,816185,6
52,53,830417,1,152,10,5,5,5,8,187,830604,left,300,4034,3966,49,826124,5
53,54,840523,0,152,0,5,5,,16,0,0,left,300,4143,3857,13,836113,18
54,55,850645,1,162,10,4,4,4,14,209,850854,right,300,4228,3772,15,846152,4
55,56,860417,1,164,2,5,5,5,16,182,860599,left,300,4026,3974,35,856124,19
56,57,870840,1,174,10,4,4,4,17,209,871049,right,300,4493,3507,25,866079,15
57,58,880661,1,176,2,4,4,4,12,280,880941,right,300,4347,3653,20,876051,8
58,59,890784,1,186,10,5,5,5,6,230,891014,left,300,4437,3563,27,886090,13
59,60,900555,1,188,2,4,4,4,12,191,900746,right,300,4213,3787,47,896079,7
60,61,910529,0,188,0,5,5,,2,0,0,left,300,4208,3792,19,906068,20
61,62,920533,1,198,10,4,4,4,13,201,920734,right,300,4146,3854,30,916123,13
62,63,930471,0,198,0,5,5,,5,0,0,left,300,4103,3897,46,926112,20
63,64,940811,1,208,10,5,5,5,11,204,941015,left,300,4365,3635,47,936184,4
64,65,950900,1,218,10,4,4,4,5,149,951049,right,300,4471,3529,27,946173,3
65,66,960655,1,220,2,4,4,4,16,182,960837,right,300,4310,3690,10,956078,6
