,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,138701,1,10,10,5,5,5,36,196,138897,left,280,4022,3998,18,134392,47
1,2,149057,1,12,2,5,5,5,17,201,149258,left,270,4359,3671,23,144430,32
2,3,158812,1,22,10,5,5,5,7,167,158979,left,260,4118,3922,47,154436,11
3,4,169169,1,22,0,4,4,4,15,183,169352,right,250,4462,3588,28,164441,20
4,5,178906,1,32,10,4,4,4,17,230,179136,right,250,4175,3875,33,174463,22
5,6,188811,1,32,0,5,5,5,7,181,188992,left,250,4018,4032,39,184535,33
6,7,198901,1,34,2,4,4,4,2,161,199062,right,250,4091,3959,36,194557,28
7,8,208806,1,34,0,4,4,4,2,163,208969,right,250,4024,4026,37,204529,13
8,9,219111,1,44,10,5,5,5,3,239,219350,left,250,4356,3694,42,214501,12
9,10,228833,0,44,0,5,5,,8,0,0,left,250,4001,4049,23,224573,8
10,11,239172,1,46,2,4,4,4,13,207,239379,right,250,4279,3771,14,234629,11
11,12,249211,1,46,0,4,4,4,5,177,249388,right,250,4304,3746,16,244651,20
12,13,259250,1,56,10,5,5,5,11,192,259442,left,250,4349,3701,19,254639,17
13,14,269305,1,58,2,4,4,4,14,177,269482,right,250,4395,3655,22,264645,15
14,15,278994,1,58,0,5,5,5,2,241,279235,left,250,4108,3942,23,274633,11
15,16,289417,1,60,2,5,5,5,2,182,289599,left,250,4492,3558,16,284672,9
16,17,299087,1,60,0,4,4,4,4,188,299275,right,250,4188,3862,35,294644,16
17,18,309243,1,62,2,5,5,5,10,182,309425,left,250,4316,3734,49,304666,15
18,19,319182,1,72,10,4,4,4,2,173,319355,right,250,4241,3809,31,314688,18
19,20,329287,1,74,2,5,5,5,10,179,329466,left,250,4349,3701,24,324677,18
20,21,338925,1,74,0,4,4,4,2,219,339144,right,250,4007,4043,37,334665,9
21,22,349398,1,76,2,5,5,5,6,197,349595,left,250,4420,3630,31,344721,13
22,23,359320,1,86,10,4,4,4,8,210,359530,right,250,4318,3732,43,354743,19
23,24,369325,1,88,2,4,4,4,13,188,369513,right,250,4279,3771,15,364782,7
24,25,379280,1,98,10,5,5,5,6,214,379494,left,250,4236,3814,37,374787,18
25,26,389135,1,98,0,4,4,4,9,174,389309,right,250,4049,4001,44,384826,13
26,27,399341,1,108,10,5,5,5,2,218,399559,left,250,4257,3793,24,394831,6
27,28,409380,1,110,2,5,5,5,10,217,409597,left,250,4249,3801,34,404870,9
28,29,419201,1,110,0,4,4,4,7,174,419375,right,250,4018,4032,48,414925,16
29,30,429291,1,110,0,5,5,5,2,194,429485,left,250,4091,3959,34,424947,18
30,31,439379,1,120,10,4,4,4,5,209,439588,right,250,4170,3880,50,434953,15
31,32,449285,1,122,2,5,5,5,2,186,449471,left,250,4024,4026,44,445008,17
32,33,459590,0,122,10,4,4,,16,0,0,right,250,4293,3757,13,455030,6
33,34,469813,1,122,0,4,4,4,8,166,469979,right,250,4485,3565,11,465069,4
34,35,479568,1,124,2,4,4,4,15,177,479745,right,250,4278,3772,28,475024,5
35,36,489339,1,134,10,5,5,5,5,186,489525,left,250,4070,3980,20,485013,5
36,37,499645,1,134,0,4,4,4,2,193,499838,right,250,4374,3676,23,495018,13
37,38,509534,1,136,2,4,4,4,16,154,509688,right,250,4243,3807,16,505024,11
38,39,519689,0,136,10,4,4,,4,0,0,right,250,4438,3612,21,514996,18
