,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,89138,1,10,10,5,5,5,19,234,89372,left,280,4440,3580,10,84428,14
1,2,99210,1,12,2,5,5,5,16,202,99412,left,270,4477,3553,43,94466,23
2,3,108865,0,12,10,5,5,,7,0,0,left,260,4119,3921,46,104488,7
3,4,119321,1,12,0,4,4,4,23,213,119534,right,250,4453,3597,26,114594,38
4,5,129376,0,12,10,4,4,,14,0,0,right,250,4462,3588,26,124649,24
5,6,139465,1,12,0,5,5,5,2,212,139677,left,260,4491,3549,19,134721,24
6,7,149103,0,12,2,4,4,,4,0,0,right,250,4105,3945,14,144743,31
7,8,159559,1,12,0,4,4,4,12,248,159807,right,260,4497,3543,41,154799,20
8,9,169614,1,22,10,5,5,5,15,228,169842,left,270,4477,3553,39,164871,9
9,10,179336,0,22,0,5,5,,16,0,0,left,260,4160,3880,30,174909,11
10,11,189525,0,22,2,4,4,,5,0,0,right,270,4288,3742,11,184981,3
11,12,199597,1,22,0,4,4,4,12,189,199786,right,280,4297,3723,37,195037,6
12,13,209435,1,32,10,5,5,5,2,214,209649,left,290,4157,3853,25,205025,13
13,14,219340,1,34,2,4,4,4,10,251,219591,right,300,4082,3918,30,214997,8
14,15,229663,1,34,0,5,5,5,10,221,229884,left,300,4366,3634,42,225036,20
15,16,239585,1,36,2,5,5,5,4,180,239765,left,290,4289,3721,32,235041,8
16,17,249690,1,36,0,4,4,4,8,170,249860,right,280,4435,3585,16,244996,18
17,18,259411,1,38,2,5,5,5,8,237,259648,left,270,4200,3830,30,254952,18
18,19,269451,1,48,10,4,4,4,2,253,269704,right,260,4208,3832,23,264990,3
19,20,279573,0,48,2,5,5,,2,0,0,left,250,4274,3776,13,275046,11
20,21,289811,1,48,0,4,4,4,3,207,290018,right,250,4456,3594,20,285101,20
21,22,299516,0,48,2,5,5,,3,0,0,left,250,4139,3911,36,295123,13
22,23,309505,1,58,10,4,4,4,3,157,309662,right,250,4056,3994,21,305195,14
23,24,319795,1,60,2,4,4,4,2,200,319995,right,250,4375,3675,44,315167,12
24,25,329916,0,60,10,5,5,,10,0,0,left,250,4466,3584,42,325189,5
25,26,339771,0,60,0,4,4,,4,0,0,right,250,4255,3795,25,335261,8
26,27,349977,0,60,10,5,5,,11,0,0,left,260,4399,3641,43,345316,8
27,28,359915,1,62,2,5,5,5,15,235,360150,left,270,4261,3769,26,355388,6
28,29,370137,0,62,0,4,4,,14,0,0,right,280,4445,3575,37,365427,7
29,30,380093,1,62,0,5,5,5,9,213,380306,left,290,4317,3693,47,375516,13
30,31,390115,0,62,10,4,4,,8,0,0,right,300,4335,3665,10,385521,3
31,32,400070,1,64,2,5,5,5,5,298,400368,left,300,4254,3746,45,395560,7
32,33,410242,1,74,10,4,4,4,10,239,410481,right,300,4349,3651,30,405632,5
33,34,420097,1,74,0,4,4,4,3,273,420370,right,300,4206,3794,24,415637,3
34,35,430169,1,76,2,4,4,4,4,207,430376,right,300,4238,3762,36,425676,9
35,36,440291,1,86,10,5,5,5,3,238,440529,left,300,4372,3628,15,435665,15
36,37,450313,1,86,0,4,4,4,6,192,450505,right,290,4386,3624,29,445670,19
37,38,460185,1,88,2,4,4,4,5,227,460412,right,280,4304,3716,47,455625,4
38,39,470190,1,98,10,4,4,4,5,210,470400,right,270,4271,3759,48,465648,4
39,40,480179,1,98,0,5,5,5,4,219,480398,left,260,4222,3818,23,475702,18
40,41,490101,1,108,10,5,5,5,12,243,490344,left,250,4114,3936,13,485724,10
41,42,500473,1,110,2,5,5,5,5,195,500668,left,250,4454,3596,44,495763,4
42,43,510111,0,110,0,5,5,,16,0,0,left,250,4059,3991,41,505785,6
43,44,520250,0,110,0,4,4,,16,0,0,right,250,4126,3924,11,515857,9
44,45,530523,1,112,2,5,5,5,6,213,530736,left,250,4370,3680,45,525896,6
45,46,540478,1,112,0,4,4,4,15,218,540696,right,250,4278,3772,24,535934,5
46,47,550717,0,112,2,4,4,,17,0,0,right,250,4476,3574,30,545973,9
47,48,560388,0,112,0,5,5,,9,0,0,left,250,4083,3967,28,556045,19
48,49,570711,1,114,2,4,4,4,9,180,570891,right,250,4350,3700,28,566101,6
49,50,580616,1,114,0,5,5,5,10,228,580844,left,250,4266,3784,20,576089,5
50,51,590471,1,124,10,4,4,4,17,229,590700,right,250,4075,3975,21,586128,14
51,52,600509,0,124,2,5,5,,13,0,0,left,250,4078,3972,43,596167,12
52,53,610715,0,124,10,5,5,,7,0,0,left,250,4218,3832,34,606239,8
53,54,620955,1,124,0,5,5,5,2,246,621201,left,250,4391,3659,22,616311,16
54,55,630726,0,124,10,4,4,,12,0,0,right,250,4097,3953,18,626366,11
55,56,641115,0,124,2,5,5,,6,0,0,left,260,4437,3603,31,636421,15
56,57,650836,1,134,10,4,4,4,5,214,651050,right,270,4086,3944,36,646494,20
57,58,660908,0,134,2,4,4,,16,0,0,right,280,4125,3895,17,656516,15
58,59,671214,1,144,10,5,5,5,13,192,671406,left,290,4362,3648,38,666588,17
59,60,681003,1,146,2,4,4,4,14,299,681302,right,300,4162,3838,28,676576,12
60,61,691325,1,146,0,5,5,5,16,219,691544,left,300,4426,3574,22,686632,6
61,62,700897,1,156,10,4,4,4,2,163,701060,right,300,4024,3976,47,696620,11
62,63,710818,0,156,0,5,5,,2,0,0,left,290,4006,4004,49,706559,19
63,64,721241,1,166,10,5,5,5,16,211,721452,left,300,4327,3673,26,716647,17
64,65,731380,1,176,10,4,4,4,11,239,731619,right,300,4499,3501,29,726619,7
65,66,741118,1,178,2,4,4,4,2,275,741393,right,290,4240,3770,19,736625,5
