,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,138593,1,10,10,5,5,5,28,241,138834,left,280,4464,3556,48,133850,47
1,2,148732,1,12,2,5,5,5,2,229,148961,left,270,4490,3540,46,143989,69
2,3,158287,1,22,10,5,5,5,7,207,158494,left,260,4018,4022,16,154011,4
3,4,168443,1,22,0,4,4,4,27,178,168621,right,250,4132,3918,44,164033,34
4,5,178431,1,32,10,4,4,4,4,174,178605,right,250,4104,3946,15,174072,23
5,6,188370,1,32,0,5,5,5,15,215,188585,left,250,4027,4023,45,184077,35
6,7,198693,1,34,2,4,4,4,14,183,198876,right,250,4295,3755,32,194133,22
7,8,208598,1,34,0,4,4,4,12,182,208780,right,250,4180,3870,16,204155,18
8,9,218486,1,44,10,5,5,5,11,228,218714,left,250,4081,3969,13,214143,17
9,10,228709,1,44,0,5,5,5,13,220,228929,left,250,4279,3771,30,224166,4
10,11,238815,1,46,2,4,4,4,17,187,239002,right,250,4343,3707,44,234204,3
11,12,248920,1,46,0,4,4,4,2,185,249105,right,250,4440,3610,46,244227,7
12,13,258525,1,56,10,5,5,5,14,198,258723,left,250,4011,4039,38,254249,4
13,14,268931,1,58,2,4,4,4,14,170,269101,right,250,4395,3655,49,264271,12
14,15,278987,1,58,0,5,5,5,14,194,279181,left,250,4429,3621,42,274293,18
15,16,288959,1,60,2,5,5,5,14,194,289153,left,250,4379,3671,12,284315,8
16,17,298697,1,60,0,4,4,4,12,189,298886,right,250,4130,3920,23,294304,5
17,18,308602,0,60,2,5,5,,8,0,0,left,250,4034,4016,28,304309,10
18,19,318958,1,70,10,4,4,4,9,190,319148,right,250,4333,3717,29,314365,6
19,20,328930,0,70,2,5,5,,14,0,0,left,250,4295,3755,20,324370,4
20,21,338735,1,70,0,4,4,4,9,200,338935,right,250,4049,4001,32,334426,14
21,22,349141,1,72,2,5,5,5,2,187,349328,left,250,4440,3610,39,344448,18
22,23,358964,1,82,10,4,4,4,2,166,359130,right,250,4241,3809,19,354470,11
23,24,369019,1,84,2,4,4,4,17,183,369202,right,250,4309,3741,39,364442,13
24,25,379091,1,94,10,5,5,5,10,178,379269,left,250,4383,3667,23,374447,10
25,26,388996,1,94,0,4,4,4,15,188,389184,right,250,4294,3756,46,384436,10
26,27,398868,1,104,10,5,5,5,3,161,399029,left,250,4156,3894,44,394458,4
27,28,408857,1,106,2,5,5,5,8,198,409055,left,250,4151,3899,35,404447,6
28,29,419012,1,106,0,4,4,4,11,174,419186,right,250,4281,3769,17,414469,15
29,30,429135,1,106,0,5,5,5,3,186,429321,left,250,4423,3627,33,424458,17
30,31,439073,1,116,10,4,4,4,5,170,439243,right,250,4337,3713,47,434480,17
31,32,448845,1,118,2,5,5,5,8,191,449036,left,250,4101,3949,30,444485,3
32,33,459135,1,128,10,4,4,4,2,181,459316,right,250,4391,3659,33,454491,4
33,34,468939,1,128,0,4,4,4,10,185,469124,right,250,4182,3868,41,464496,17
34,35,479062,1,130,2,4,4,4,14,186,479248,right,250,4279,3771,43,474518,9
35,36,489234,1,140,10,5,5,5,12,190,489424,left,250,4431,3619,47,484540,7
36,37,499106,1,140,0,4,4,4,15,180,499286,right,250,4277,3773,25,494563,4
37,38,509112,1,142,2,4,4,4,2,185,509297,right,250,4308,3742,16,504551,8
38,39,519284,1,152,10,4,4,4,11,190,519474,right,250,4482,3568,28,514540,16
39,40,528972,1,152,0,5,5,5,5,203,529175,left,250,4171,3879,23,524545,5
40,41,539311,1,162,10,5,5,5,13,207,539518,left,250,4479,3571,27,534568,11
41,42,548999,1,164,2,5,5,5,6,207,549206,left,250,4152,3898,42,544590,7
42,43,558955,1,164,0,5,5,5,17,192,559147,left,250,4059,3991,36,554628,8
43,44,569194,1,164,0,4,4,4,17,199,569393,right,250,4275,3775,17,564651,15
44,45,579316,1,166,2,5,5,5,8,212,579528,left,250,4401,3649,27,574656,15
45,46,588954,1,166,0,4,4,4,6,209,589163,right,250,4019,4031,40,584678,6
46,47,599194,1,168,2,4,4,4,16,184,599378,right,250,4210,3840,49,594717,10
47,48,609049,1,168,0,5,5,5,9,208,609257,left,250,4033,4017,31,604756,18
48,49,619154,1,170,2,4,4,4,12,184,619338,right,250,4096,3954,10,614795,19
49,50,629327,1,170,0,5,5,5,7,191,629518,left,250,4286,3764,37,624783,6
50,51,639115,1,180,10,4,4,4,11,191,639306,right,250,4048,4002,14,634805,13
51,52,649187,1,182,2,5,5,5,14,211,649398,left,250,4111,3939,13,644811,20
52,53,659410,1,192,10,5,5,5,17,182,659592,left,250,4326,3724,15,654816,3
53,54,669499,1,192,0,5,5,5,3,210,669709,left,250,4440,3610,43,664805,18
54,55,679421,1,202,10,4,4,4,15,198,679619,right,250,4310,3740,25,674844,7
55,56,689276,1,204,2,5,5,5,6,204,689480,left,250,4170,3880,50,684849,8
56,57,699298,1,214,10,4,4,4,4,234,699532,right,250,4138,3912,19,694905,17
57,58,709287,1,216,2,4,4,4,17,201,709488,right,250,4075,3975,46,704944,15
58,59,719292,1,226,10,5,5,5,5,217,719509,left,250,4054,3996,10,714982,3
59,60,729448,1,228,2,4,4,4,14,248,729696,right,250,4195,3855,42,724988,7
60,61,739754,1,228,0,5,5,5,4,200,739954,left,250,4439,3611,17,735060,8
61,62,749525,1,238,10,4,4,4,16,208,749733,right,250,4192,3858,41,745066,17
62,63,759397,0,238,0,5,5,,14,0,0,left,250,4028,4022,17,755104,8
63,64,769854,1,248,10,5,5,5,2,216,770070,left,250,4441,3609,33,765160,16
64,65,779492,1,258,10,4,4,4,7,195,779687,right,250,4035,4015,18,775199,17
65,66,789898,1,260,2,4,4,4,15,236,790134,right,250,4428,3622,50,785204,15
