,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP:
0,4226,5,3794,35,1,,0,47,164295,,0,0,0,5,-999999,33,168805,4,38,168843,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10,
1,4200,5,3810,29,1,,0,32,174200,,0,0,1,5,-999999,9,178660,5,214,178874,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2,
2,4082,5,3918,16,1,,0,4,184188,,0,0,0,5,-999999,10,188531,4,35,188566,bigwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,300,3,1,3,10,
3,4425,4,3575,26,1,,0,34,194010,,0,0,1,4,-999999,18,198704,4,173,198877,nowinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,4,1,4,0,
4,4405,4,3595,33,1,,0,24,203982,,0,0,1,4,-999999,4,208642,4,193,208835,bigwinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,300,5,1,5,10,
5,4085,5,3915,32,1,,0,34,213971,,0,0,1,5,-999999,6,218313,5,198,218511,nowinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,6,1,6,0,
6,4474,4,3536,26,1,,0,35,223959,,0,0,1,4,-999999,2,228686,4,4,228690,smallwinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,290,7,1,7,2,
7,4487,4,3533,25,1,,0,8,233731,,0,0,1,4,-999999,5,238474,4,58,238532,nowinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,280,8,1,8,0,
8,4131,5,3899,40,1,,0,8,243569,,0,0,0,5,-999999,11,247962,4,32,247994,bigwinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,270,9,1,9,10,
9,4443,5,3597,22,1,,0,10,253407,,0,0,1,5,-999999,17,258118,5,191,258309,nowinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,260,10,1,10,0,
10,4319,4,3731,31,1,,0,12,263413,,0,0,1,4,-999999,6,267989,4,187,268176,smallwinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,250,11,1,11,2,
11,4426,4,3624,18,1,,0,19,273435,,0,0,1,4,-999999,16,278128,4,185,278313,nowinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,250,12,1,12,0,
12,4186,5,3864,12,1,,0,15,283440,,0,0,0,5,-999999,6,287883,4,44,287927,bigwinleft.bmp,left,TrialProc,TrialList,16,targetleft.bmp,left,250,13,1,13,10,
13,4293,4,3757,28,1,,0,4,293278,,0,0,0,4,-999999,16,297838,5,180,298018,smallwinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,250,14,1,14,2,
14,4350,5,3690,22,1,,0,5,303267,,0,0,1,5,-999999,9,307877,5,177,308054,nowinleft.bmp,left,TrialProc,TrialList,16,targetleft.bmp,left,260,15,1,15,0,
15,4141,5,3909,46,1,,0,11,313239,,0,0,1,5,-999999,2,317633,5,196,317829,smallwinleft.bmp,left,TrialProc,TrialList,18,targetleft.bmp,left,250,16,1,16,2,
16,4410,4,3640,20,1,,0,4,323261,,0,0,1,4,-999999,16,327938,4,188,328126,nowinright.bmp,right,TrialProc,TrialList,18,targetright.bmp,right,250,17,1,17,0,
17,4455,5,3595,32,1,,0,13,333266,,0,0,0,5,-999999,5,337977,4,166,338143,smallwinleft.bmp,left,TrialProc,TrialList,18,targetleft.bmp,left,250,18,1,18,2,
18,4061,4,3989,21,1,,0,18,343255,,0,0,1,4,-999999,14,347581,4,165,347746,bigwinright.bmp,right,TrialProc,TrialList,28,targetright.bmp,right,250,19,1,19,10,
19,4483,5,3567,16,1,,0,12,353227,,0,0,1,5,-999999,10,357971,5,198,358169,smallwinleft.bmp,left,TrialProc,TrialList,30,targetleft.bmp,left,250,20,1,20,2,
20,4243,4,3807,49,1,,0,17,363232,,0,0,1,4,-999999,16,367742,4,190,367932,nowinright.bmp,right,TrialProc,TrialList,30,targetright.bmp,right,250,21,1,21,0,
21,4353,5,3697,23,1,,0,18,373271,,0,0,1,5,-999999,6,377881,5,47,377928,smallwinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,22,1,22,2,
22,4095,4,3955,38,1,,0,10,383126,,0,0,1,4,-999999,14,387486,4,17,387503,bigwinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,250,23,1,23,10,
23,4378,4,3672,24,1,,0,12,392981,,0,0,1,4,-999999,15,397625,4,182,397807,smallwinright.bmp,right,TrialProc,TrialList,44,targetright.bmp,right,250,24,1,24,2,
24,4204,5,3846,33,1,,0,10,402970,,0,0,1,5,-999999,5,407430,5,187,407617,bigwinleft.bmp,left,TrialProc,TrialList,54,targetleft.bmp,left,250,25,1,25,10,
25,4360,4,3690,38,1,,0,17,412992,,0,0,1,4,-999999,16,417619,4,189,417808,nowinright.bmp,right,TrialProc,TrialList,54,targetright.bmp,right,250,26,1,26,0,
