,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,105581,1,10,10,5,5,5,25,229,105810,left,280,4151,3869,34,101154,30
1,2,115636,1,12,2,5,5,5,15,221,115857,left,270,4160,3870,41,111210,16
2,3,125742,1,22,10,5,5,5,11,238,125980,left,260,4231,3809,46,121249,9
3,4,135965,0,22,0,4,4,,20,0,0,right,250,4356,3694,23,131338,21
4,5,146037,1,32,10,4,4,4,14,210,146247,right,250,4345,3705,42,141427,27
5,6,156009,0,32,0,5,5,,10,0,0,left,250,4266,3784,49,151482,25
6,7,166215,1,34,2,4,4,4,13,229,166444,right,250,4380,3670,26,161571,18
7,8,176337,0,34,0,4,4,,14,0,0,right,250,4462,3588,20,171610,7
8,9,186209,1,44,10,5,5,5,2,254,186463,left,260,4290,3750,50,181666,14
9,10,196214,0,44,0,5,5,,15,0,0,left,250,4194,3856,43,191754,16
10,11,206587,1,46,2,4,4,4,9,211,206798,right,260,4500,3540,37,201827,7
11,12,216442,0,46,0,4,4,,10,0,0,right,270,4332,3698,39,211849,13
12,13,226314,1,56,10,5,5,5,3,225,226539,left,280,4122,3898,16,221938,11
13,14,236219,1,58,2,4,4,4,17,220,236439,right,290,4008,4002,23,231943,17
14,15,246208,0,58,0,5,5,,3,0,0,left,300,4005,3995,46,241949,11
15,16,256464,1,60,2,5,5,5,8,220,256684,left,300,4184,3816,45,252021,4
16,17,266603,0,60,0,4,4,,8,0,0,right,300,4318,3682,11,262026,5
17,18,276592,1,62,2,5,5,5,12,187,276779,left,300,4264,3736,35,272065,6
18,19,286514,1,72,10,4,4,4,16,171,286685,right,300,4210,3790,47,282037,15
19,20,296285,1,74,2,5,5,5,9,199,296484,left,300,4016,3984,48,292009,20
20,21,306558,0,74,0,4,4,,15,0,0,right,300,4294,3706,40,301998,19
21,22,316647,1,76,2,5,5,5,15,252,316899,left,300,4311,3689,34,312070,10
22,23,326753,1,86,10,4,4,4,17,217,326970,right,300,4376,3624,50,322109,16
23,24,336708,1,88,2,4,4,4,5,194,336902,right,300,4321,3679,15,332131,16
24,25,346530,1,98,10,5,5,5,11,221,346751,left,290,4182,3828,49,342086,18
25,26,356401,0,98,0,4,4,,4,0,0,right,280,4021,3999,15,352125,18
26,27,366925,1,108,10,5,5,5,15,186,367111,left,290,4478,3532,41,362181,19
27,28,376746,1,110,2,5,5,5,11,219,376965,left,280,4315,3705,47,372169,9
28,29,386551,0,110,0,4,4,,6,0,0,right,270,4086,3944,10,382208,19
29,30,396891,0,110,0,5,5,,4,0,0,left,280,4372,3648,25,392264,7
30,31,406964,1,120,10,4,4,4,2,202,407166,right,290,4392,3618,30,402319,8
31,32,417019,1,122,2,5,5,5,8,234,417253,left,300,4469,3531,15,412291,3
32,33,426673,1,132,10,4,4,4,10,187,426860,right,300,4115,3885,33,422297,19
33,34,436796,0,132,0,4,4,,4,0,0,right,290,4272,3738,12,432269,17
34,35,447018,1,134,2,4,4,4,4,182,447200,right,300,4455,3545,22,442308,5
35,36,456623,1,144,10,5,5,5,6,225,456848,left,300,4120,3880,16,452246,11
36,37,466661,0,144,0,4,4,,8,0,0,right,290,4167,3843,10,462235,17
37,38,476700,1,146,2,4,4,4,5,214,476914,right,300,4153,3847,21,472291,7
38,39,486839,1,156,10,4,4,4,4,196,487035,right,300,4321,3679,30,482263,13
39,40,496544,0,156,0,5,5,,3,0,0,left,290,4072,3938,22,492218,4
40,41,506683,1,166,10,5,5,5,14,183,506866,left,300,4145,3855,13,502273,11
41,42,516588,1,168,2,5,5,5,4,272,516860,left,300,4121,3879,15,512197,5
42,43,526711,0,168,0,5,5,,12,0,0,left,290,4197,3813,35,522251,19
43,44,536967,0,168,0,4,4,,9,0,0,right,300,4367,3633,47,532340,15
44,45,547005,1,170,2,5,5,5,9,179,547184,left,300,4316,3684,23,542429,20
45,46,556877,0,170,0,4,4,,9,0,0,right,300,4250,3750,43,552367,10
46,47,567150,1,172,2,4,4,4,4,207,567357,right,300,4455,3545,43,562440,8
47,48,576755,0,172,0,5,5,,15,0,0,left,300,4061,3939,29,572428,7
