,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,82595,0,0,10,5,5,,93,0,0,left,280,4049,3971,13,78202,29
1,2,92850,1,2,2,5,5,5,2,212,93062,left,290,4223,3787,46,88374,37
2,3,102672,1,12,10,5,5,5,11,251,102923,left,300,4047,3953,20,98363,4
3,4,112761,1,12,0,4,4,4,20,219,112980,right,290,4055,3955,49,108435,64
4,5,122883,1,22,10,4,4,4,12,212,123095,right,280,4146,3874,47,118474,18
5,6,133139,1,22,0,5,5,5,5,226,133365,left,270,4371,3659,50,128512,36
6,7,143128,1,24,2,4,4,4,10,203,143331,right,260,4282,3758,23,138585,34
7,8,153000,1,24,0,4,4,4,10,201,153201,right,250,4149,3901,45,148590,10
8,9,163222,1,34,10,5,5,5,17,231,163453,left,250,4325,3725,40,158629,5
9,10,173194,1,34,0,5,5,5,8,211,173405,left,250,4251,3799,36,168684,9
10,11,183149,1,36,2,4,4,4,16,203,183352,right,250,4159,3891,25,178723,14
11,12,193138,1,36,0,4,4,4,5,229,193367,right,250,4137,3913,41,188745,8
12,13,203327,1,46,10,5,5,5,14,237,203564,left,250,4261,3789,20,198801,9
13,14,213166,1,48,2,4,4,4,6,209,213375,right,250,4053,3997,22,208856,13
14,15,223355,1,48,0,5,5,5,14,229,223584,left,250,4212,3838,31,218878,11
15,16,233611,0,48,2,5,5,,5,0,0,left,250,4421,3629,17,228934,19
16,17,243533,1,48,0,4,4,4,9,207,243740,right,250,4284,3766,19,238989,16
17,18,253471,1,50,2,5,5,5,4,209,253680,left,250,4205,3845,13,249011,14
18,19,263360,0,50,10,4,4,,12,0,0,right,250,4080,3970,49,259017,4
19,20,273398,1,52,2,5,5,5,3,247,273645,left,250,4038,4012,24,269106,18
20,21,283437,1,52,0,4,4,4,6,193,283630,right,250,4019,4031,12,279161,9
21,22,293810,1,54,2,5,5,5,5,215,294025,left,250,4404,3646,26,289150,5
22,23,303732,1,64,10,4,4,4,16,189,303921,right,250,4293,3757,46,299172,8
23,24,313620,1,66,2,4,4,4,13,214,313834,right,250,4162,3888,21,309194,4
24,25,323926,1,76,10,5,5,5,12,213,324139,left,250,4447,3603,14,319216,12
25,26,333665,0,76,0,4,4,,13,0,0,right,250,4163,3887,35,329238,19
26,27,343603,0,76,10,5,5,,14,0,0,left,250,4028,4022,46,339310,15
27,28,353642,1,78,2,5,5,5,4,194,353836,left,250,4005,4045,49,349382,4
28,29,364132,1,78,0,4,4,4,2,208,364340,right,250,4458,3592,29,359421,18
29,30,374187,1,78,0,5,5,5,13,194,374381,left,250,4480,3570,19,369443,4
30,31,384076,1,88,10,4,4,4,9,216,384292,right,250,4367,3683,11,379449,15
31,32,394114,1,90,2,5,5,5,13,225,394339,left,250,4396,3654,37,389454,6
32,33,404136,0,90,10,4,4,,5,0,0,right,250,4370,3680,39,399510,14
33,34,414025,1,90,0,4,4,4,5,225,414250,right,250,4187,3863,46,409582,11
34,35,424331,1,92,2,4,4,4,16,202,424533,right,250,4427,3623,42,419637,4
35,36,434019,0,92,10,5,5,,7,0,0,left,250,4085,3965,25,429676,8
36,37,444459,0,92,0,4,4,,2,0,0,right,250,4474,3576,18,439732,9
37,38,454315,1,94,2,4,4,4,2,206,454521,right,250,4274,3776,49,449787,15
38,39,464536,1,104,10,4,4,4,6,225,464761,right,250,4436,3614,40,459843,18
39,40,474475,0,104,0,5,5,,2,0,0,left,250,4324,3726,50,469898,10
40,41,484480,1,114,10,5,5,5,10,200,484680,left,250,4232,3818,20,479987,17
41,42,494369,1,116,2,5,5,5,13,230,494599,left,250,4096,3954,39,490009,30
42,43,504591,1,116,0,5,5,5,14,202,504793,left,250,4261,3789,44,500065,12
43,44,514580,1,116,0,4,4,4,7,211,514791,right,250,4219,3831,23,510103,6
44,45,524769,1,118,2,5,5,5,2,207,524976,left,250,4391,3659,22,520125,10
