,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,130257,1,10,10,5,5,5,56,230,130487,left,280,4186,3834,13,125764,64
1,2,140530,1,12,2,5,5,5,2,222,140752,left,270,4424,3606,46,135853,38
2,3,150217,1,22,10,5,5,5,11,198,150415,left,260,4080,3960,41,145875,5
3,4,160240,1,22,0,4,4,4,28,205,160445,right,250,4015,4035,44,155931,43
4,5,170529,1,32,10,4,4,4,7,159,170688,right,250,4252,3798,14,166019,23
5,6,180434,1,32,0,5,5,5,16,212,180646,left,250,4159,3891,18,176008,37
6,7,190423,1,34,2,4,4,4,10,189,190612,right,250,4116,3934,43,186046,32
7,8,200445,1,34,0,4,4,4,6,226,200671,right,250,4120,3930,46,196068,7
8,9,210701,1,44,10,5,5,5,14,11,210712,left,250,4312,3738,50,206124,4
9,10,220255,1,44,0,5,5,5,4,239,220494,left,250,4021,4029,49,215979,17
10,11,230761,1,46,2,4,4,4,5,187,230948,right,250,4437,3613,20,226068,18
11,12,240700,1,46,0,4,4,4,9,211,240911,right,250,4367,3683,31,236073,13
12,13,250856,1,56,10,5,5,5,8,191,251047,left,250,4485,3565,18,246112,19
13,14,260610,1,58,2,4,4,4,14,184,260794,right,250,4228,3822,44,256117,15
14,15,270883,1,58,0,5,5,5,12,203,271086,left,250,4497,3553,33,266123,7
15,16,280504,1,60,2,5,5,5,8,190,280694,left,250,4084,3966,20,276161,17
16,17,290694,1,60,0,4,4,4,2,211,290905,right,250,4274,3776,47,286167,14
17,18,300699,1,62,2,5,5,5,11,189,300888,left,250,4232,3818,27,296205,3
18,19,310605,1,72,10,4,4,4,2,172,310777,right,250,4141,3909,21,306211,7
19,20,320526,1,74,2,5,5,5,7,210,320736,left,250,4069,3981,45,316199,12
20,21,330999,1,74,0,4,4,4,15,210,331209,right,250,4495,3555,22,326238,5
21,22,340920,1,76,2,5,5,5,3,196,341116,left,250,4406,3644,11,336260,11
22,23,350876,1,86,10,4,4,4,17,173,351049,right,250,4359,3691,37,346249,6
23,24,360747,1,88,2,4,4,4,11,212,360959,right,250,4231,3819,26,356254,12
24,25,370586,1,98,10,5,5,5,11,190,370776,left,250,4048,4002,36,366276,7
25,26,380808,0,98,0,4,4,,11,0,0,right,250,4248,3802,27,376298,14
26,27,390648,0,98,10,5,5,,2,0,0,left,250,4041,4009,31,386354,7
27,28,400986,1,100,2,5,5,5,9,226,401212,left,250,4300,3750,29,396426,18
28,29,410874,1,100,0,4,4,4,5,179,411053,right,250,4153,3897,43,406465,5
29,30,420930,1,100,0,5,5,5,8,201,421131,left,250,4201,3849,45,416470,7
30,31,430885,1,110,10,4,4,4,13,177,431062,right,250,4112,3938,47,426509,5
31,32,441208,1,112,2,5,5,5,16,226,441434,left,250,4427,3623,44,436514,3
32,33,451063,1,122,10,4,4,4,10,205,451268,right,250,4232,3818,15,446570,6
33,34,461235,0,122,0,4,4,,8,0,0,right,250,4384,3666,13,456592,19
34,35,471174,1,124,2,4,4,4,12,167,471341,right,250,4281,3769,30,466630,3
35,36,481296,1,134,10,5,5,5,5,221,481517,left,250,4421,3629,11,476619,3
36,37,491151,1,134,0,4,4,4,16,224,491375,right,250,4243,3807,10,486641,6
37,38,501223,1,136,2,4,4,4,12,178,501401,right,250,4297,3753,40,496663,7
38,39,511412,1,146,10,4,4,4,11,177,511589,right,250,4481,3569,22,506669,11
39,40,521384,0,146,0,5,5,,14,0,0,left,250,4462,3588,13,516657,11
40,41,531056,1,156,10,5,5,5,11,186,531242,left,250,4098,3952,11,526696,4
41,42,541078,1,158,2,5,5,5,3,201,541279,left,250,4139,3911,21,536685,6
42,43,551300,0,158,0,5,5,,10,0,0,left,250,4332,3718,17,546707,13
43,44,561406,0,158,0,4,4,,12,0,0,right,250,4381,3669,14,556762,16
44,45,571495,1,160,2,5,5,5,8,249,571744,left,250,4418,3632,48,566818,20
45,46,581567,0,160,0,4,4,,9,0,0,right,250,4401,3649,18,576906,18
46,47,591338,1,162,2,4,4,4,11,233,591571,right,250,4114,3936,14,586962,16
47,48,601744,0,162,0,5,5,,15,0,0,left,250,4477,3573,25,597001,20
48,49,611516,0,162,2,4,4,,14,0,0,right,250,4195,3855,36,607056,8
49,50,621688,0,162,0,5,5,,13,0,0,left,250,4296,3754,40,617128,14
50,51,631911,1,172,10,4,4,4,16,214,632125,right,250,4444,3606,35,627200,10
51,52,641565,1,174,2,5,5,5,15,222,641787,left,250,4060,3990,16,637239,15
52,53,651988,1,184,10,5,5,5,9,216,652204,left,250,4450,3600,42,647278,17
53,54,661960,0,184,0,5,5,,4,0,0,left,250,4388,3662,47,657317,8
54,55,671782,1,194,10,4,4,4,4,192,671974,right,250,4138,3912,31,667389,3
55,56,681904,1,196,2,5,5,5,6,204,682108,left,250,4236,3814,29,677411,19
56,57,691926,1,206,10,4,4,4,16,232,692158,right,250,4226,3824,39,687433,4
57,58,701932,1,208,2,4,4,4,13,243,702175,right,250,4180,3870,16,697488,11
58,59,711954,0,208,10,5,5,,3,0,0,left,250,4156,3894,38,707544,17
59,60,722260,1,210,2,4,4,4,3,204,722464,right,250,4390,3660,12,717616,12
60,61,732081,1,210,0,5,5,5,10,232,732313,left,250,4199,3851,37,727621,4
61,62,742421,1,220,10,4,4,4,15,204,742625,right,250,4478,3572,47,737677,13
62,63,752042,0,220,0,5,5,,8,0,0,left,250,4051,3999,33,747732,19
63,64,762398,0,220,10,5,5,,13,0,0,left,250,4329,3721,41,757805,18
64,65,772153,0,220,10,4,4,,8,0,0,right,250,4017,4033,49,767877,9
65,66,782442,1,222,2,4,4,4,10,208,782650,right,250,4215,3835,15,777966,18
