,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4115,5,3905,22,1,,0,64,79799,,0,0,1,5,-999999,94,84259,5,217,84476,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4227,5,3803,21,1,,0,78,89954,,0,0,1,5,-999999,16,94448,5,247,94695,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2
2,4332,5,3708,23,1,,0,12,99993,,0,0,0,5,0,11,104587,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,260,3,1,3,10
3,4204,4,3846,31,1,,0,76,110115,,0,0,1,4,-999999,22,114592,4,183,114775,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,250,4,1,4,0
4,4330,4,3720,22,1,,0,36,120154,,0,0,1,4,-999999,12,124747,4,175,124922,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,5,1,5,10
5,4144,5,3906,19,1,,0,28,130159,,0,0,1,5,-999999,15,134569,5,182,134751,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,250,6,1,6,0
6,4080,4,3970,10,1,,0,31,140165,,0,0,1,4,-999999,12,144508,4,186,144694,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,7,1,7,2
7,4117,4,3933,11,1,,0,6,150153,,0,0,1,4,-999999,9,154530,4,213,154743,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,8,1,8,0
8,4416,5,3634,30,1,,0,6,160159,,0,0,1,5,-999999,10,164836,5,226,165062,bigwinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,9,1,9,10
9,4059,5,3991,25,1,,0,20,170214,,0,0,0,5,0,16,174540,,0,0,nowinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,10,1,10,0
10,4358,4,3692,34,1,,0,8,180269,,0,0,1,4,-999999,2,184880,4,211,185091,smallwinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,11,1,11,2
11,4004,4,4046,50,1,,0,16,190308,,0,0,0,4,0,4,194567,,0,0,nowinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,12,1,12,0
12,4444,5,3606,26,1,,0,17,200397,,0,0,1,5,-999999,15,205107,5,238,205345,bigwinleft.bmp,left,TrialProc,TrialList,46,targetleft.bmp,left,250,13,1,13,10
13,4487,4,3563,33,1,,0,7,210452,,0,0,1,4,-999999,6,215196,4,193,215389,smallwinright.bmp,right,TrialProc,TrialList,48,targetright.bmp,right,250,14,1,14,2
14,4189,5,3861,41,1,,0,17,220474,,0,0,0,5,0,3,224917,,0,0,nowinleft.bmp,left,TrialProc,TrialList,48,targetleft.bmp,left,250,15,1,15,0
15,4077,5,3973,44,1,,0,10,230547,,0,0,1,5,-999999,14,234889,5,174,235063,smallwinleft.bmp,left,TrialProc,TrialList,50,targetleft.bmp,left,250,16,1,16,2
16,4244,4,3806,27,1,,0,6,240552,,0,0,1,4,-999999,15,245062,4,204,245266,nowinright.bmp,right,TrialProc,TrialList,50,targetright.bmp,right,250,17,1,17,0
17,4312,5,3738,42,1,,0,7,250574,,0,0,1,5,-999999,14,255151,5,171,255322,smallwinleft.bmp,left,TrialProc,TrialList,52,targetleft.bmp,left,250,18,1,18,2
18,4190,4,3860,29,1,,0,8,260579,,0,0,1,4,-999999,2,265022,4,163,265185,bigwinright.bmp,right,TrialProc,TrialList,62,targetright.bmp,right,250,19,1,19,10
19,4466,5,3584,35,1,,0,4,270551,,0,0,1,5,-999999,10,275278,5,177,275455,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,250,20,1,20,2
20,4325,4,3725,18,1,,0,15,280556,,0,0,1,4,-999999,2,285134,4,203,285337,nowinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,250,21,1,21,0
21,4357,5,3693,17,1,,0,15,290562,,0,0,1,5,-999999,2,295172,5,228,295400,smallwinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,250,22,1,22,2
22,4324,4,3726,26,1,,0,16,300600,,0,0,0,4,0,2,305177,,0,0,bigwinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,250,23,1,23,10
23,4058,4,3992,24,1,,0,8,310656,,0,0,1,4,-999999,17,314982,4,208,315190,smallwinright.bmp,right,TrialProc,TrialList,68,targetright.bmp,right,250,24,1,24,2
24,4152,5,3898,23,1,,0,9,320678,,0,0,1,5,-999999,6,325087,5,164,325251,bigwinleft.bmp,left,TrialProc,TrialList,78,targetleft.bmp,left,250,25,1,25,10
25,4187,4,3863,24,1,,0,11,330650,,0,0,1,4,-999999,5,335093,4,219,335312,nowinright.bmp,right,TrialProc,TrialList,78,targetright.bmp,right,250,26,1,26,0
26,4437,5,3613,42,1,,0,9,340688,,0,0,1,5,-999999,6,345382,5,194,345576,bigwinleft.bmp,left,TrialProc,TrialList,88,targetleft.bmp,left,250,27,1,27,10
27,4189,5,3861,24,1,,0,8,350710,,0,0,0,5,0,4,355154,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,88,targetleft.bmp,left,250,28,1,28,2
28,4320,4,3730,37,1,,0,10,360766,,0,0,0,4,0,6,365343,,0,0,nowinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,250,29,1,29,0
29,4198,5,3852,44,1,,0,13,370838,,0,0,0,5,0,11,375298,,0,0,nowinleft.bmp,left,TrialProc,TrialList,88,targetleft.bmp,left,250,30,1,30,0
30,4197,4,3853,37,1,,0,6,380910,,0,0,1,4,-999999,12,385370,4,212,385582,bigwinright.bmp,right,TrialProc,TrialList,98,targetright.bmp,right,250,31,1,31,10
31,4115,5,3935,28,1,,0,13,390949,,0,0,0,5,0,10,395325,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,98,targetleft.bmp,left,250,32,1,32,2
32,4356,4,3694,24,1,,0,5,401004,,0,0,1,4,-999999,3,405614,4,191,405805,bigwinright.bmp,right,TrialProc,TrialList,108,targetright.bmp,right,250,33,1,33,10
33,4106,4,3944,11,1,,0,10,411010,,0,0,1,4,-999999,2,415369,4,247,415616,nowinright.bmp,right,TrialProc,TrialList,108,targetright.bmp,right,250,34,1,34,0
34,4423,4,3627,27,1,,0,5,421048,,0,0,1,4,-999999,3,425725,4,210,425935,smallwinright.bmp,right,TrialProc,TrialList,110,targetright.bmp,right,250,35,1,35,2
35,4327,5,3723,10,1,,0,6,431070,,0,0,1,5,-999999,16,435664,5,242,435906,bigwinleft.bmp,left,TrialProc,TrialList,120,targetleft.bmp,left,250,36,1,36,10
36,4430,4,3620,16,1,,0,7,441109,,0,0,0,4,0,13,445803,,0,0,nowinright.bmp,right,TrialProc,TrialList,120,targetright.bmp,right,250,37,1,37,0
37,4319,4,3731,48,1,,0,17,451164,,0,0,0,4,0,7,455741,,0,0,smallwinright.bmp,right,TrialProc,TrialList,120,targetright.bmp,right,250,38,1,38,2
38,4321,4,3729,41,1,,0,19,461253,,0,0,1,4,-999999,5,465830,4,228,466058,bigwinright.bmp,right,TrialProc,TrialList,130,targetright.bmp,right,250,39,1,39,10
39,4413,5,3637,37,1,,0,9,471309,,0,0,1,5,-999999,13,475986,5,230,476216,nowinleft.bmp,left,TrialProc,TrialList,130,targetleft.bmp,left,250,40,1,40,0
40,4005,5,4045,30,1,,0,13,481364,,0,0,1,5,-999999,3,485623,5,230,485853,bigwinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,250,41,1,41,10
41,4423,5,3627,45,1,,0,20,491419,,0,0,0,5,0,3,496096,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,250,42,1,42,2
42,4029,5,4021,11,1,,0,6,501492,,0,0,0,5,0,12,505784,,0,0,nowinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,250,43,1,43,0
43,4005,4,4045,20,1,,0,5,511530,,0,0,1,4,-999999,4,515790,4,248,516038,nowinright.bmp,right,TrialProc,TrialList,140,targetright.bmp,right,250,44,1,44,0
44,4065,5,3985,23,1,,0,14,521586,,0,0,0,5,0,10,525912,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,250,45,1,45,2
45,4097,4,3953,17,1,,0,10,531641,,0,0,0,4,0,12,536001,,0,0,nowinright.bmp,right,TrialProc,TrialList,140,targetright.bmp,right,250,46,1,46,0
46,4194,4,3856,50,1,,0,17,541697,,0,0,0,4,0,14,546156,,0,0,smallwinright.bmp,right,TrialProc,TrialList,140,targetright.bmp,right,250,47,1,47,2
47,4327,5,3713,32,1,,0,16,551785,,0,0,1,5,-999999,16,556379,5,257,556636,nowinleft.bmp,left,TrialProc,TrialList,140,targetleft.bmp,left,260,48,1,48,0
48,4111,4,3939,30,1,,0,18,561874,,0,0,1,4,-999999,15,566251,4,195,566446,smallwinright.bmp,right,TrialProc,TrialList,142,targetright.bmp,right,250,49,1,49,2
49,4368,5,3682,46,1,,0,4,571880,,0,0,0,5,0,7,576506,,0,0,nowinleft.bmp,left,TrialProc,TrialList,142,targetleft.bmp,left,250,50,1,50,0
50,4214,4,3836,29,1,,0,4,581952,,0,0,1,4,-999999,11,586428,4,234,586662,bigwinright.bmp,right,TrialProc,TrialList,152,targetright.bmp,right,250,51,1,51,10
51,4140,5,3910,32,1,,0,4,592007,,0,0,0,5,0,2,596400,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,152,targetleft.bmp,left,250,52,1,52,2
52,4116,5,3924,40,1,,0,18,602079,,0,0,0,5,0,9,606455,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,152,targetleft.bmp,left,260,53,1,53,10
53,4004,5,4026,22,1,,0,10,612151,,0,0,1,5,-999999,5,616411,5,236,616647,nowinleft.bmp,left,TrialProc,TrialList,152,targetleft.bmp,left,270,54,1,54,0
