,BlockList,BlockList.Cycle,BlockList.Sample,Display.RefreshRate,Experiment,Group,LevelName,PracticeMode,Procedure,RandomSeed,Running,Session,SessionDate,SessionTime,Subject,Target_time,VersionPersist,c_SessionDate,c_Subject,nbTrials
37,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,-385848699,BlockList,1,01-01-2002,02:58:54,24052,270,1,05-24-2012,24052,32
38,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,2029829759,BlockList,1,02-10-2011,10:49:59,10021,270,1,02-10-2011,10021,66
39,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1862441531,BlockList,1,01-01-2002,04:40:24,26010,270,1,01-26-2010,26010,66
40,1,1,1,59.869,MIDT_forscan,1,LogLevel10,no,BlockProc,952410236,BlockList,1,01-19-2010,13:45:06,19010,270,1,01-19-2010,19010,66
41,1,1,1,59.873,MIDT_forscan,1,LogLevel10,no,BlockProc,469625690,BlockList,1,03-10-2010,13:32:51,10030,270,1,03-10-2010,10030,66
42,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1442171632,BlockList,1,01-01-2002,01:06:04,25092,270,1,09-25-2012,25092,66
43,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1506752373,BlockList,1,01-01-2002,01:01:08,27032,270,1,03-27-2012,27032,66
44,1,1,1,59.867,MIDT_forscan,1,LogLevel10,no,BlockProc,2065948521,BlockList,1,01-01-2002,02:10:52,1,270,1,,1,6
45,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,-1873265872,BlockList,1,12-01-2009,13:58:03,08129,270,1,12-08-2009,08129,66
46,1,1,1,59.867,MIDT_forscan,1,LogLevel10,no,BlockProc,-2047899102,BlockList,1,01-01-2002,03:48:06,15031,270,1,03-15-2011,15031,66
47,1,1,1,59.897,MIDT_forscan,1,LogLevel10,no,BlockProc,-1842070536,BlockList,1,11-10-2009,13:53:21,10119,270,1,11-10-2009,10119,66
48,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,2102552083,BlockList,1,01-06-2002,02:58:10,15060,270,1,06-15-2010,15060,66
49,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,-566481912,BlockList,1,01-01-2002,04:52:24,18011,270,1,01-18-2011,18011,66
50,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,1102882451,BlockList,1,01-01-2002,03:45:21,22099,270,1,09-22-2009,22099,66
51,1,1,1,59.874,MIDT_forscan,1,LogLevel10,no,BlockProc,1565865343,BlockList,1,01-01-2002,02:35:42,18012,270,1,01-18-2012,18012,66
52,1,1,1,59.868,MIDT_forscan,1,LogLevel10,no,BlockProc,591716354,BlockList,1,11-17-2010,13:48:24,17110,270,1,11-17-2010,17110,66
