,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,110836,0,0,10,5,5,,37,0,0,left,280,4171,3849,25,106377,47
1,2,120825,1,2,2,5,5,5,9,194,121019,left,290,4066,3944,37,116499,25
2,3,130931,1,12,10,5,5,5,3,184,131115,left,300,4189,3811,17,126488,13
3,4,140986,1,12,0,4,4,4,33,185,141171,right,290,4259,3751,38,136443,16
4,5,151025,1,22,10,4,4,4,7,184,151209,right,280,4302,3718,16,146465,29
5,6,160747,1,22,0,5,5,5,16,255,161002,left,270,4026,4004,14,156454,34
6,7,170852,1,24,2,4,4,4,7,200,171052,right,260,4068,3972,31,166526,36
7,8,180958,1,24,0,4,4,4,12,191,181149,right,250,4164,3886,28,176531,19
8,9,191297,1,34,10,5,5,5,12,176,191473,left,250,4497,3553,30,186537,6
9,10,201052,1,34,0,5,5,5,6,216,201268,left,250,4270,3780,16,196525,3
10,11,211241,1,36,2,4,4,4,10,209,211450,right,250,4433,3617,36,206547,17
11,12,220929,1,36,0,4,4,4,4,165,221094,right,250,4088,3962,17,216586,14
12,13,230952,1,46,10,5,5,5,2,170,231122,left,250,4141,3909,29,226558,16
13,14,241291,1,48,2,4,4,4,12,164,241455,right,250,4498,3552,11,236530,3
14,15,250879,1,48,0,5,5,5,7,183,251062,left,250,4135,3915,23,246486,6
15,16,261203,1,50,2,5,5,5,2,167,261370,left,250,4459,3591,49,256491,11
16,17,271223,1,50,0,4,4,4,10,190,271413,right,250,4466,3584,44,266496,17
17,18,281078,1,52,2,5,5,5,16,179,281257,left,250,4293,3757,45,276518,6
18,19,290833,1,62,10,4,4,4,2,175,291008,right,250,4056,3994,24,286524,5
19,20,301039,1,64,2,5,5,5,13,175,301214,left,250,4263,3787,43,296512,9
20,21,311029,1,64,0,4,4,4,2,198,311227,right,250,4258,3792,24,306518,7
21,22,320849,1,66,2,5,5,5,6,198,321047,left,250,4085,3965,14,316507,9
22,23,331172,1,76,10,4,4,4,6,223,331395,right,250,4420,3630,49,326495,3
23,24,340860,1,78,2,4,4,4,9,200,341060,right,250,4033,4017,27,336567,17
24,25,351250,1,88,10,5,5,5,3,170,351420,left,250,4423,3627,13,346573,7
25,26,361205,1,88,0,4,4,4,3,180,361385,right,250,4406,3644,37,356545,4
26,27,371144,1,98,10,5,5,5,6,181,371325,left,250,4337,3713,41,366550,13
27,28,381149,1,100,2,5,5,5,6,173,381322,left,250,4336,3714,43,376556,10
28,29,390870,1,100,0,4,4,4,8,180,391050,right,250,4050,4000,17,386561,7
29,30,401110,1,100,0,5,5,5,16,202,401312,left,250,4293,3757,20,396550,17
30,31,410881,1,110,10,4,4,4,8,167,411048,right,250,4050,4000,34,406572,14
31,32,420887,1,112,2,5,5,5,17,187,421074,left,250,4059,3991,46,416560,16
32,33,431076,0,112,10,4,4,,14,0,0,right,250,4229,3821,42,426582,4
33,34,441031,0,112,0,4,4,,7,0,0,right,250,4118,3932,48,436655,8
34,35,451086,1,114,2,4,4,4,8,189,451275,right,250,4083,3967,36,446744,19
35,36,461175,1,124,10,5,5,5,9,182,461357,left,250,4149,3901,11,456766,14
36,37,471047,1,124,0,4,4,4,11,179,471226,right,250,4047,4003,20,466738,6
37,38,481002,1,126,2,4,4,4,12,218,481220,right,250,4013,4037,47,476726,13
38,39,491292,1,136,10,4,4,4,16,176,491468,right,250,4243,3807,32,486782,3
39,40,501448,1,136,0,5,5,5,11,194,501642,left,250,4399,3651,14,496787,18
40,41,511436,1,146,10,5,5,5,16,205,511641,left,250,4393,3657,31,506776,3
41,42,521492,1,148,2,5,5,5,17,249,521741,left,250,4409,3641,33,516815,19
42,43,531564,0,148,0,5,5,,2,0,0,left,250,4424,3626,44,526887,17
43,44,541603,1,148,0,4,4,4,10,181,541784,right,250,4383,3667,23,536959,6
44,45,551324,1,150,2,5,5,5,10,171,551495,left,250,4115,3935,29,546948,11
45,46,561597,1,150,0,4,4,4,15,195,561792,right,250,4395,3655,15,556936,4
46,47,571652,1,152,2,4,4,4,5,200,571852,right,250,4454,3596,45,566942,19
47,48,581574,1,152,0,5,5,5,7,170,581744,left,250,4352,3698,23,576964,5
48,49,591664,1,154,2,4,4,4,2,236,591900,right,250,4458,3592,43,586953,11
49,50,601334,1,154,0,5,5,5,9,231,601565,left,250,4049,4001,12,597025,7
50,51,611724,1,164,10,4,4,4,15,172,611896,right,250,4411,3639,28,607047,5
51,52,621680,1,166,2,5,5,5,2,186,621866,left,250,4391,3659,24,617036,6
52,53,631518,1,176,10,5,5,5,12,163,631681,left,250,4214,3836,31,627041,9
53,54,641623,1,176,0,5,5,5,13,185,641808,left,250,4329,3721,40,637030,19
54,55,651595,1,186,10,4,4,4,2,177,651772,right,250,4290,3760,43,647052,10
55,56,661534,1,188,2,5,5,5,11,166,661700,left,250,4215,3835,31,657057,7
56,57,671439,0,188,10,4,4,,17,0,0,right,250,4125,3925,34,667046,19
57,58,681646,1,190,2,4,4,4,2,161,681807,right,250,4275,3775,32,677118,15
58,59,691600,1,200,10,5,5,5,4,233,691833,left,250,4255,3795,40,687090,17
59,60,701589,0,200,2,4,4,,12,0,0,right,250,4180,3870,47,697146,11
60,61,711661,1,200,0,5,5,5,3,220,711881,left,250,4173,3877,21,707234,19
61,62,721867,1,210,10,4,4,4,4,170,722037,right,250,4339,3711,25,717273,12
62,63,731957,1,210,0,5,5,5,2,147,732104,left,250,4442,3608,49,727262,8
63,64,741493,1,220,10,5,5,5,5,174,741667,left,250,4003,4047,41,737234,17
64,65,752000,1,230,10,4,4,4,14,150,752150,right,250,4496,3554,34,747239,9
65,66,761972,1,232,2,4,4,4,10,178,762150,right,250,4483,3567,35,757228,16
