,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4091,5,3929,19,1,,0,97,58378,,0,0,0,5,0,84,62804,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4400,5,3610,25,1,,0,98,68617,,0,0,1,5,-999999,9,73277,5,278,73555,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2
2,4148,5,3852,16,1,,0,8,78672,,0,0,1,5,-999999,11,83082,5,279,83361,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,3,1,3,10
3,4296,4,3714,46,1,,0,51,88745,,0,0,1,4,-999999,29,93321,4,268,93589,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,290,4,1,4,0
4,4338,4,3682,46,1,,0,21,98850,,0,0,1,4,-999999,5,103444,4,202,103646,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,280,5,1,5,10
5,4002,5,4028,42,1,,0,38,108889,,0,0,1,5,-999999,6,113148,5,192,113340,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,270,6,1,6,0
6,4080,4,3960,20,1,,0,25,118911,,0,0,1,4,-999999,12,123254,4,220,123474,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,260,7,1,7,2
7,4058,4,3992,14,1,,0,14,128950,,0,0,0,4,-999999,17,133276,5,210,133486,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,8,1,8,0
8,4082,5,3968,33,1,,0,19,138972,,0,0,0,5,0,10,143315,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,24,targetleft.bmp,left,250,9,1,9,10
9,4415,5,3635,36,1,,0,17,149044,,0,0,1,5,-999999,11,153721,5,215,153936,nowinleft.bmp,left,TrialProc,TrialList,24,targetleft.bmp,left,250,10,1,10,0
10,4415,4,3635,40,1,,0,14,159083,,0,0,0,4,0,11,163760,,0,0,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,11,1,11,2
11,4336,4,3704,12,1,,0,10,169155,,0,0,1,4,-999999,6,173748,4,200,173948,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,260,12,1,12,0
12,4276,5,3774,47,1,,0,5,179127,,0,0,1,5,-999999,16,183670,5,176,183846,bigwinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,13,1,13,10
13,4236,4,3814,36,1,,0,3,189132,,0,0,1,4,-999999,6,193625,4,175,193800,smallwinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,14,1,14,2
14,4159,5,3891,40,1,,0,14,199137,,0,0,1,5,-999999,17,203564,5,199,203763,nowinleft.bmp,left,TrialProc,TrialList,36,targetleft.bmp,left,250,15,1,15,0
15,4130,5,3920,48,1,,0,10,209160,,0,0,1,5,-999999,12,213553,5,187,213740,smallwinleft.bmp,left,TrialProc,TrialList,38,targetleft.bmp,left,250,16,1,16,2
16,4189,4,3861,36,1,,0,19,219198,,0,0,0,4,0,3,223641,,0,0,nowinright.bmp,right,TrialProc,TrialList,38,targetright.bmp,right,250,17,1,17,0
17,4191,5,3859,24,1,,0,14,229270,,0,0,1,5,-999999,2,233714,5,190,233904,smallwinleft.bmp,left,TrialProc,TrialList,40,targetleft.bmp,left,250,18,1,18,2
18,4017,4,4033,14,1,,0,8,239259,,0,0,1,4,-999999,8,243535,4,174,243709,bigwinright.bmp,right,TrialProc,TrialList,50,targetright.bmp,right,250,19,1,19,10
19,4148,5,3902,46,1,,0,20,249248,,0,0,1,5,-999999,10,253657,5,247,253904,smallwinleft.bmp,left,TrialProc,TrialList,52,targetleft.bmp,left,250,20,1,20,2
20,4360,4,3690,35,1,,0,4,259320,,0,0,0,4,0,16,263947,,0,0,nowinright.bmp,right,TrialProc,TrialList,52,targetright.bmp,right,250,21,1,21,0
