,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,96860,1,10,10,5,5,5,18,210,97070,left,280,4008,4012,15,92583,47
1,2,107048,1,12,2,5,5,5,11,192,107240,left,270,4164,3866,46,102622,35
2,3,117087,1,22,10,5,5,5,14,201,117288,left,260,4178,3862,10,112644,21
3,4,126975,1,22,0,4,4,4,21,212,127187,right,250,4020,4030,37,122683,40
4,5,137398,1,32,10,4,4,4,4,230,137628,right,250,4388,3662,48,132755,30
5,6,147187,1,32,0,5,5,5,3,199,147386,left,250,4089,3961,44,142844,36
6,7,157359,1,34,2,4,4,4,9,186,157545,right,250,4217,3833,24,152882,22
7,8,167414,1,34,0,4,4,4,12,204,167618,right,250,4263,3787,39,162888,10
8,9,177320,1,44,10,5,5,5,14,183,177503,left,250,4128,3922,35,172927,12
9,10,187225,1,44,0,5,5,5,13,203,187428,left,250,4029,4021,23,182932,15
10,11,197564,1,46,2,4,4,4,12,183,197747,right,250,4347,3703,50,192954,10
11,12,207352,1,46,0,4,4,4,15,208,207560,right,250,4110,3940,34,202976,17
12,13,217608,1,56,10,5,5,5,2,199,217807,left,250,4340,3710,44,213015,16
13,14,227313,1,58,2,4,4,4,10,201,227514,right,250,4015,4035,13,223037,6
14,15,237485,1,58,0,5,5,5,5,226,237711,left,250,4187,3863,15,233042,3
15,16,247775,1,60,2,5,5,5,14,240,248015,left,250,4429,3621,32,243081,18
16,17,257797,1,60,0,4,4,4,12,200,257997,right,250,4381,3669,42,253153,18
17,18,267887,1,62,2,5,5,5,2,205,268092,left,250,4459,3591,44,263175,8
18,19,277908,1,72,10,4,4,4,14,189,278097,right,250,4446,3604,28,273197,5
19,20,287796,1,74,2,5,5,5,12,186,287982,left,250,4330,3720,44,283203,6
20,21,297651,1,74,0,4,4,4,14,203,297854,right,250,4161,3889,25,293225,6
21,22,307690,0,74,2,5,5,,10,0,0,left,250,4182,3868,36,303247,9
22,23,317979,1,84,10,4,4,4,12,196,318175,right,250,4396,3654,28,313319,14
23,24,327901,1,86,2,4,4,4,9,224,328125,right,250,4317,3733,35,323324,5
24,25,338023,1,96,10,5,5,5,4,209,338232,left,250,4388,3662,50,333380,15
25,26,348162,1,96,0,4,4,4,11,232,348394,right,250,4465,3585,39,343435,17
26,27,357767,1,106,10,5,5,5,6,204,357971,left,250,4019,4031,36,353491,12
27,28,368223,1,108,2,5,5,5,13,237,368460,left,250,4430,3620,45,363529,14
28,29,378345,1,108,0,4,4,4,11,219,378564,right,250,4481,3569,36,373602,6
29,30,388017,1,108,0,5,5,5,5,205,388222,left,250,4104,3946,40,383657,14
30,31,398272,1,118,10,4,4,4,11,214,398486,right,250,4314,3736,45,393696,10
31,32,408029,1,120,2,5,5,5,2,197,408226,left,250,4042,4008,14,403734,5
32,33,418067,1,130,10,4,4,4,2,184,418251,right,250,4091,3959,24,413723,19
33,34,428005,1,130,0,4,4,4,9,189,428194,right,250,4017,4033,49,423728,9
34,35,438060,1,132,2,4,4,4,5,206,438266,right,250,4037,4013,36,433767,18
35,36,448266,1,142,10,5,5,5,16,193,448459,left,250,4193,3857,14,443806,14
36,37,458138,1,142,0,4,4,4,16,225,458363,right,250,4060,3990,21,453811,19
37,38,468494,1,144,2,4,4,4,5,200,468694,right,250,4388,3662,32,463850,12
38,39,478282,1,154,10,4,4,4,8,171,478453,right,250,4134,3916,39,473889,18
39,40,488321,0,154,0,5,5,,5,0,0,left,250,4171,3879,13,483894,11
40,41,498643,1,164,10,5,5,5,15,196,498839,left,250,4444,3606,10,493933,4
41,42,508381,1,166,2,5,5,5,7,195,508576,left,250,4201,3849,15,503922,7
42,43,518621,1,166,0,5,5,5,6,220,518841,left,250,4437,3613,25,513927,18
43,44,528626,1,166,0,4,4,4,16,197,528823,right,250,4393,3657,33,523966,9
44,45,538615,1,168,2,5,5,5,15,192,538807,left,250,4361,3689,24,533988,17
45,46,548687,1,168,0,4,4,4,6,213,548900,right,250,4437,3613,32,543993,9
46,47,558425,1,170,2,4,4,4,4,227,558652,right,250,4138,3912,33,554032,18
47,48,568631,1,170,0,5,5,5,17,205,568836,left,250,4276,3774,21,564087,17
48,49,578786,1,172,2,4,4,4,6,206,578992,right,250,4420,3630,38,574109,12
49,50,588558,0,172,0,5,5,,3,0,0,left,250,4156,3894,39,584148,12
50,51,598697,0,172,10,4,4,,14,0,0,right,250,4212,3838,33,594220,11
51,52,608903,1,174,2,5,5,5,9,185,609088,left,250,4351,3699,29,604292,17
52,53,618908,1,184,10,5,5,5,7,193,619101,left,250,4352,3698,35,614298,5
53,54,628980,0,184,0,5,5,,3,0,0,left,250,4406,3644,42,624320,15
54,55,638768,1,194,10,4,4,4,2,195,638963,right,250,4123,3927,50,634392,8
55,56,648807,1,196,2,5,5,5,8,225,649032,left,250,4117,3933,39,644431,17
56,57,659247,1,206,10,4,4,4,13,196,659443,right,250,4497,3553,12,654486,11
57,58,669152,1,208,2,4,4,4,6,192,669344,right,250,4420,3630,19,664475,5
58,59,679174,1,218,10,5,5,5,7,226,679400,left,250,4436,3614,38,674480,14
59,60,689079,1,220,2,4,4,4,10,197,689276,right,250,4282,3768,45,684536,12
60,61,699034,0,220,0,5,5,,13,0,0,left,250,4212,3838,23,694558,5
61,62,709340,1,230,10,4,4,4,14,206,709546,right,250,4462,3588,26,704613,10
62,63,718895,1,230,0,5,5,5,2,185,719080,left,250,4007,4043,17,714635,7
63,64,729268,1,240,10,5,5,5,17,182,729450,left,250,4376,3674,23,724624,15
64,65,738922,1,250,10,4,4,4,7,210,739132,right,250,4051,3999,13,734613,11
65,66,748961,1,252,2,4,4,4,10,191,749152,right,250,4082,3968,19,744618,4
