,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP:,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP
0,4312,5,3708,35,1,,0,97,82921,,0,0,0,5,0,97,87581,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10,
1,4311,5,3699,30,1,,0,81,93160,,0,0,0,5,0,15,97737,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,290,2,1,2,2,
2,4067,5,3933,41,1,,0,3,103232,,0,0,0,5,0,8,107558,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,300,3,1,3,10,
3,4004,4,3996,18,1,,0,43,113338,,0,0,1,4,-999999,21,117614,,271,117885,nowinright.bmp,right,TrialProc,TrialList,0,targetright.bmp,right,300,4,1,4,0,4
4,4279,4,3721,27,1,,0,15,123393,,0,0,0,4,0,14,127937,,0,0,bigwinright.bmp,right,TrialProc,TrialList,0,targetright.bmp,right,300,5,1,5,10,
5,4369,5,3631,42,1,,0,40,133482,,0,0,0,5,0,7,138109,,0,0,nowinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,300,6,1,6,0,
6,4403,4,3597,37,1,,0,25,143571,,0,0,1,4,-999999,6,148231,,275,148506,smallwinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,7,1,7,2,4
7,4042,4,3958,38,1,,0,13,153627,,0,0,1,4,-999999,16,157936,,260,158196,nowinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,8,1,8,0,4
8,4349,5,3651,18,1,,0,11,163665,,0,0,1,5,-999999,11,168276,,260,168536,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,9,1,9,10,5
9,4162,5,3838,36,1,,0,16,173688,,0,0,1,5,-999999,13,178114,,291,178405,nowinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,10,1,10,0,5
