,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,127476,0,0,10,5,5,,19,0,0,left,280,4206,3814,24,123000,30
1,2,137800,1,2,2,5,5,5,2,208,138008,left,290,4442,3568,12,133105,26
2,3,147604,1,12,10,5,5,5,10,294,147898,left,300,4282,3718,41,143061,5
3,4,157910,1,12,0,4,4,4,22,208,158118,right,290,4487,3523,36,153150,26
4,5,167598,1,22,10,4,4,4,15,194,167792,right,280,4160,3860,50,163172,31
5,6,177871,1,22,0,5,5,5,10,205,178076,left,270,4416,3614,18,173194,17
6,7,187693,0,22,2,4,4,,4,0,0,right,260,4222,3818,18,183216,32
7,8,197898,1,22,0,4,4,4,10,190,198088,right,250,4365,3685,30,193272,16
8,9,207570,1,32,10,5,5,5,8,198,207768,left,250,4034,4016,42,203277,3
9,10,217976,1,32,0,5,5,5,9,216,218192,left,250,4417,3633,42,213299,8
10,11,227932,0,32,2,4,4,,9,0,0,right,250,4334,3716,30,223338,8
11,12,237970,1,32,0,4,4,4,6,190,238160,right,250,4303,3747,12,233410,20
12,13,247826,1,42,10,5,5,5,16,234,248060,left,250,4160,3890,14,243399,5
13,14,257914,1,44,2,4,4,4,14,157,258071,right,250,4194,3856,47,253455,20
14,15,267870,1,44,0,5,5,5,4,222,268092,left,250,4172,3878,20,263443,3
15,16,278109,1,46,2,5,5,5,4,200,278309,left,250,4372,3678,38,273482,13
16,17,288031,1,46,0,4,4,4,14,184,288215,right,250,4262,3788,45,283504,12
17,18,297854,1,48,2,5,5,5,2,245,298099,left,250,4074,3976,41,293527,6
18,19,308293,1,58,10,4,4,4,7,159,308452,right,250,4436,3614,48,303599,9
19,20,318198,1,60,2,5,5,5,17,204,318402,left,250,4326,3724,45,313604,19
20,21,328370,1,60,0,4,4,4,9,200,328570,right,250,4467,3583,45,323643,5
21,22,338025,0,60,2,5,5,,5,0,0,left,250,4104,3946,19,333665,5
22,23,348314,1,70,10,4,4,4,4,183,348497,right,250,4338,3712,16,343721,15
23,24,358169,0,70,2,4,4,,13,0,0,right,250,4195,3855,15,353710,18
24,25,368342,1,80,10,5,5,5,15,190,368532,left,250,4311,3739,31,363765,18
25,26,378464,0,80,0,4,4,,13,0,0,right,250,4413,3637,23,373787,19
26,27,388453,1,90,10,5,5,5,2,203,388656,left,250,4357,3693,35,383843,11
27,28,398275,1,92,2,5,5,5,12,211,398486,left,250,4130,3920,20,393882,15
28,29,408581,1,92,0,4,4,4,13,238,408819,right,250,4413,3637,13,403904,14
29,30,418302,1,92,0,5,5,5,6,194,418496,left,250,4086,3964,12,413959,20
30,31,428625,1,102,10,4,4,4,10,188,428813,right,250,4416,3634,12,423948,5
31,32,438447,0,102,2,5,5,,6,0,0,left,250,4253,3797,31,433937,5
32,33,448686,1,112,10,4,4,4,12,188,448874,right,250,4414,3636,16,444009,19
33,34,458742,1,112,0,4,4,4,5,201,458943,right,250,4471,3579,27,454015,18
34,35,468531,1,114,2,4,4,4,2,197,468728,right,250,4240,3810,49,464037,7
35,36,478469,0,114,10,5,5,,7,0,0,left,250,4135,3915,17,474076,18
36,37,488474,0,114,0,4,4,,4,0,0,right,250,4088,3962,12,484131,16
37,38,498864,1,116,2,4,4,4,17,236,499100,right,250,4426,3624,18,494170,5
38,39,508836,1,126,10,4,4,4,10,194,509030,right,250,4349,3701,48,504226,15
39,40,518825,0,126,0,5,5,,11,0,0,left,250,4299,3751,27,514264,18
40,41,528730,1,136,10,5,5,5,12,197,528927,left,250,4147,3903,20,524320,6
41,42,538969,0,136,2,5,5,,12,0,0,left,250,4381,3669,44,534325,13
42,43,549041,1,136,0,5,5,5,9,211,549252,left,250,4383,3667,45,544398,6
43,44,558830,1,136,0,4,4,4,7,182,559012,right,250,4135,3915,29,554437,6
44,45,569036,1,138,2,5,5,5,7,195,569231,left,250,4353,3697,10,564425,4
45,46,578774,0,138,0,4,4,,2,0,0,right,250,4107,3943,11,574414,7
46,47,588779,1,140,2,4,4,4,10,173,588952,right,250,4082,3968,37,584436,4
47,48,599119,1,140,0,5,5,5,3,191,599310,left,250,4423,3627,30,594442,13
48,49,608924,1,142,2,4,4,4,14,177,609101,right,250,4196,3854,40,604449,5
49,50,618896,0,142,0,5,5,,15,0,0,left,250,4161,3889,45,614469,10
50,51,629102,0,142,10,4,4,,3,0,0,right,250,4306,3744,33,624542,6
51,52,639324,0,142,2,5,5,,8,0,0,left,250,4451,3599,48,634614,17
52,53,648979,0,142,10,5,5,,13,0,0,left,250,4012,4038,14,644703,19
53,54,659135,0,142,0,5,5,,14,0,0,left,250,4112,3938,17,654758,19
54,55,669341,1,152,10,4,4,4,16,188,669529,right,250,4260,3790,47,664814,17
55,56,679262,0,152,2,5,5,,14,0,0,left,250,4144,3906,14,674853,20
