,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,84259,1,10,10,5,5,5,94,217,84476,left,280,4115,3905,22,79799,64
1,2,94448,1,12,2,5,5,5,16,247,94695,left,270,4227,3803,21,89954,78
2,3,104587,0,12,10,5,5,,11,0,0,left,260,4332,3708,23,99993,12
3,4,114592,1,12,0,4,4,4,22,183,114775,right,250,4204,3846,31,110115,76
4,5,124747,1,22,10,4,4,4,12,175,124922,right,250,4330,3720,22,120154,36
5,6,134569,1,22,0,5,5,5,15,182,134751,left,250,4144,3906,19,130159,28
6,7,144508,1,24,2,4,4,4,12,186,144694,right,250,4080,3970,10,140165,31
7,8,154530,1,24,0,4,4,4,9,213,154743,right,250,4117,3933,11,150153,6
8,9,164836,1,34,10,5,5,5,10,226,165062,left,250,4416,3634,30,160159,6
9,10,174540,0,34,0,5,5,,16,0,0,left,250,4059,3991,25,170214,20
10,11,184880,1,36,2,4,4,4,2,211,185091,right,250,4358,3692,34,180269,8
11,12,194567,0,36,0,4,4,,4,0,0,right,250,4004,4046,50,190308,16
12,13,205107,1,46,10,5,5,5,15,238,205345,left,250,4444,3606,26,200397,17
13,14,215196,1,48,2,4,4,4,6,193,215389,right,250,4487,3563,33,210452,7
14,15,224917,0,48,0,5,5,,3,0,0,left,250,4189,3861,41,220474,17
15,16,234889,1,50,2,5,5,5,14,174,235063,left,250,4077,3973,44,230547,10
16,17,245062,1,50,0,4,4,4,15,204,245266,right,250,4244,3806,27,240552,6
17,18,255151,1,52,2,5,5,5,14,171,255322,left,250,4312,3738,42,250574,7
18,19,265022,1,62,10,4,4,4,2,163,265185,right,250,4190,3860,29,260579,8
19,20,275278,1,64,2,5,5,5,10,177,275455,left,250,4466,3584,35,270551,4
20,21,285134,1,64,0,4,4,4,2,203,285337,right,250,4325,3725,18,280556,15
21,22,295172,1,66,2,5,5,5,2,228,295400,left,250,4357,3693,17,290562,15
22,23,305177,0,66,10,4,4,,2,0,0,right,250,4324,3726,26,300600,16
23,24,314982,1,68,2,4,4,4,17,208,315190,right,250,4058,3992,24,310656,8
24,25,325087,1,78,10,5,5,5,6,164,325251,left,250,4152,3898,23,320678,9
25,26,335093,1,78,0,4,4,4,5,219,335312,right,250,4187,3863,24,330650,11
26,27,345382,1,88,10,5,5,5,6,194,345576,left,250,4437,3613,42,340688,9
27,28,355154,0,88,2,5,5,,4,0,0,left,250,4189,3861,24,350710,8
28,29,365343,0,88,0,4,4,,6,0,0,right,250,4320,3730,37,360766,10
29,30,375298,0,88,0,5,5,,11,0,0,left,250,4198,3852,44,370838,13
30,31,385370,1,98,10,4,4,4,12,212,385582,right,250,4197,3853,37,380910,6
31,32,395325,0,98,2,5,5,,10,0,0,left,250,4115,3935,28,390949,13
32,33,405614,1,108,10,4,4,4,3,191,405805,right,250,4356,3694,24,401004,5
33,34,415369,1,108,0,4,4,4,2,247,415616,right,250,4106,3944,11,411010,10
34,35,425725,1,110,2,4,4,4,3,210,425935,right,250,4423,3627,27,421048,5
35,36,435664,1,120,10,5,5,5,16,242,435906,left,250,4327,3723,10,431070,6
36,37,445803,0,120,0,4,4,,13,0,0,right,250,4430,3620,16,441109,7
37,38,455741,0,120,2,4,4,,7,0,0,right,250,4319,3731,48,451164,17
38,39,465830,1,130,10,4,4,4,5,228,466058,right,250,4321,3729,41,461253,19
39,40,475986,1,130,0,5,5,5,13,230,476216,left,250,4413,3637,37,471309,9
40,41,485623,1,140,10,5,5,5,3,230,485853,left,250,4005,4045,30,481364,13
41,42,496096,0,140,2,5,5,,3,0,0,left,250,4423,3627,45,491419,20
42,43,505784,0,140,0,5,5,,12,0,0,left,250,4029,4021,11,501492,6
43,44,515790,1,140,0,4,4,4,4,248,516038,right,250,4005,4045,20,511530,5
44,45,525912,0,140,2,5,5,,10,0,0,left,250,4065,3985,23,521586,14
45,46,536001,0,140,0,4,4,,12,0,0,right,250,4097,3953,17,531641,10
46,47,546156,0,140,2,4,4,,14,0,0,right,250,4194,3856,50,541697,17
47,48,556379,1,140,0,5,5,5,16,257,556636,left,260,4327,3713,32,551785,16
48,49,566251,1,142,2,4,4,4,15,195,566446,right,250,4111,3939,30,561874,18
49,50,576506,0,142,0,5,5,,7,0,0,left,250,4368,3682,46,571880,4
50,51,586428,1,152,10,4,4,4,11,234,586662,right,250,4214,3836,29,581952,4
51,52,596400,0,152,2,5,5,,2,0,0,left,250,4140,3910,32,592007,4
52,53,606455,0,152,10,5,5,,9,0,0,left,260,4116,3924,40,602079,18
53,54,616411,1,152,0,5,5,5,5,236,616647,left,270,4004,4026,22,612151,10
54,55,626667,1,162,10,4,4,4,15,202,626869,right,280,4228,3792,43,622173,10
55,56,636939,1,164,2,5,5,5,14,213,637152,left,290,4495,3515,32,632179,6
56,57,646694,1,174,10,4,4,4,11,185,646879,right,280,4248,3772,45,642184,18
57,58,656833,1,176,2,4,4,4,9,179,657012,right,270,4400,3630,30,652173,6
58,59,666688,1,186,10,5,5,5,11,223,666911,left,260,4282,3758,33,662144,3
59,60,676894,1,188,2,4,4,4,4,210,677104,right,250,4456,3594,43,672183,16
60,61,686565,1,188,0,5,5,5,11,247,686812,left,250,4081,3969,16,682222,7
61,62,696670,1,198,10,4,4,4,12,231,696901,right,250,4130,3920,19,692277,17
62,63,706742,0,198,0,5,5,,13,0,0,left,250,4162,3888,25,702316,14
63,64,716848,0,198,10,5,5,,13,0,0,left,250,4213,3837,25,712371,8
64,65,726937,0,198,10,4,4,,12,0,0,right,250,4247,3803,11,722427,9
65,66,737026,0,198,2,4,4,,6,0,0,right,250,4303,3747,10,732466,6
