,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,100541,1,10,10,5,5,5,48,200,100741,left,280,4345,3675,27,95882,31
1,2,110246,1,12,2,5,5,5,3,165,110411,left,270,4023,4007,15,105969,55
2,3,120418,1,22,10,5,5,5,2,173,120591,left,260,4257,3783,21,115908,18
3,4,130473,1,22,0,4,4,4,28,214,130687,right,250,4297,3753,40,125897,29
4,5,140562,1,32,10,4,4,4,14,166,140728,right,250,4261,3789,42,136036,94
5,6,150785,1,32,0,5,5,5,13,153,150938,left,250,4463,3587,39,146058,42
6,7,160707,1,34,2,4,4,4,17,168,160875,right,250,4376,3674,19,156063,28
7,8,170679,1,34,0,4,4,4,17,189,170868,right,250,4359,3691,34,166052,14
8,9,180651,1,44,10,5,5,5,12,189,180840,left,250,4314,3736,38,176074,16
9,10,190523,1,44,0,5,5,5,11,183,190706,left,250,4165,3885,44,186096,12
10,11,200662,1,46,2,4,4,4,16,165,200827,right,250,4293,3757,21,196102,7
11,12,210400,1,46,0,4,4,4,4,233,210633,right,250,4071,3979,27,206074,13
12,13,220773,1,56,10,5,5,5,12,188,220961,left,250,4398,3652,49,216112,6
13,14,230644,1,58,2,4,4,4,11,168,230812,right,250,4231,3819,13,226151,18
14,15,240550,1,58,0,5,5,5,8,179,240729,left,250,4168,3882,28,236123,4
15,16,250755,1,60,2,5,5,5,14,181,250936,left,250,4378,3672,15,246112,6
16,17,260627,1,60,0,4,4,4,2,182,260809,right,250,4273,3777,26,256101,19
17,18,270449,1,62,2,5,5,5,2,203,270652,left,250,4107,3943,34,266089,7
18,19,280705,1,72,10,4,4,4,16,167,280872,right,250,4310,3740,22,276128,16
