,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,62804,0,0,10,5,5,,84,0,0,left,280,4091,3929,19,58378,97
1,2,73277,1,2,2,5,5,5,9,278,73555,left,290,4400,3610,25,68617,98
2,3,83082,1,12,10,5,5,5,11,279,83361,left,300,4148,3852,16,78672,8
3,4,93321,1,12,0,4,4,4,29,268,93589,right,290,4296,3714,46,88745,51
4,5,103444,1,22,10,4,4,4,5,202,103646,right,280,4338,3682,46,98850,21
5,6,113148,1,22,0,5,5,5,6,192,113340,left,270,4002,4028,42,108889,38
6,7,123254,1,24,2,4,4,4,12,220,123474,right,260,4080,3960,20,118911,25
7,8,133276,0,24,0,4,4,5,17,210,133486,right,250,4058,3992,14,128950,14
8,9,143315,0,24,10,5,5,,10,0,0,left,250,4082,3968,33,138972,19
9,10,153721,1,24,0,5,5,5,11,215,153936,left,250,4415,3635,36,149044,17
10,11,163760,0,24,2,4,4,,11,0,0,right,250,4415,3635,40,159083,14
11,12,173748,1,24,0,4,4,4,6,200,173948,right,260,4336,3704,12,169155,10
12,13,183670,1,34,10,5,5,5,16,176,183846,left,250,4276,3774,47,179127,5
13,14,193625,1,36,2,4,4,4,6,175,193800,right,250,4236,3814,36,189132,3
14,15,203564,1,36,0,5,5,5,17,199,203763,left,250,4159,3891,40,199137,14
15,16,213553,1,38,2,5,5,5,12,187,213740,left,250,4130,3920,48,209160,10
16,17,223641,0,38,0,4,4,,3,0,0,right,250,4189,3861,36,219198,19
17,18,233714,1,40,2,5,5,5,2,190,233904,left,250,4191,3859,24,229270,14
18,19,243535,1,50,10,4,4,4,8,174,243709,right,250,4017,4033,14,239259,8
19,20,253657,1,52,2,5,5,5,10,247,253904,left,250,4148,3902,46,249248,20
20,21,263947,0,52,0,4,4,,16,0,0,right,250,4360,3690,35,259320,4
21,22,274102,1,54,2,5,5,5,5,178,274280,left,250,4454,3596,41,269392,15
22,23,284124,1,64,10,4,4,4,3,184,284308,right,250,4473,3577,41,279397,9
23,24,293712,1,66,2,4,4,4,3,222,293934,right,250,4055,3995,44,289403,9
24,25,304018,1,76,10,5,5,5,2,238,304256,left,250,4307,3743,25,299458,6
25,26,314224,0,76,0,4,4,,9,0,0,right,250,4450,3600,33,309514,9
26,27,323996,0,76,10,5,5,,10,0,0,left,250,4149,3901,13,319586,17
27,28,334151,0,76,2,5,5,,15,0,0,left,250,4260,3790,17,329625,4
28,29,344324,0,76,0,4,4,,17,0,0,right,250,4376,3674,28,339680,16
29,30,354346,1,76,0,5,5,5,4,188,354534,left,260,4355,3685,23,349736,6
30,31,364100,1,86,10,4,4,4,5,222,364322,right,250,4120,3930,34,359724,10
31,32,374256,1,88,2,5,5,5,13,194,374450,left,250,4212,3838,26,369780,16
32,33,384495,1,98,10,4,4,4,14,175,384670,right,250,4445,3605,16,379785,7
33,34,394133,1,98,0,4,4,4,15,195,394328,right,250,4093,3957,40,389774,18
34,35,404156,1,100,2,4,4,4,2,191,404347,right,250,4107,3943,34,399796,10
