,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP:,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP:,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP:,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize,PictureTarget.RESP
53,4118,5,3932,28,1,,0,20,759437,,0,0,1,5,-999999,7,763813,,177,763990,nowinleft.bmp,left,TrialProc,TrialList,186,targetleft.bmp,left,250,54,1,54,0,5
54,4356,4,3694,49,1,,0,5,769425,,0,0,1,4,-999999,3,774035,,195,774230,bigwinright.bmp,right,TrialProc,TrialList,196,targetright.bmp,right,250,55,1,55,10,4
55,4069,5,3981,17,1,,0,18,779464,,0,0,1,5,-999999,6,783790,,192,783982,smallwinleft.bmp,left,TrialProc,TrialList,198,targetleft.bmp,left,250,56,1,56,2,5
56,4054,4,3996,14,1,,0,16,789469,,0,0,1,4,-999999,5,793779,,204,793983,bigwinright.bmp,right,TrialProc,TrialList,208,targetright.bmp,right,250,57,1,57,10,4
57,4249,4,3801,49,1,,0,19,799491,,0,0,1,4,-999999,10,804001,,216,804217,smallwinright.bmp,right,TrialProc,TrialList,210,targetright.bmp,right,250,58,1,58,2,4
58,4113,5,3937,31,1,,0,18,809547,,0,0,1,5,-999999,12,813923,,164,814087,bigwinleft.bmp,left,TrialProc,TrialList,220,targetleft.bmp,left,250,59,1,59,10,5
59,4057,4,3993,46,1,,0,19,819535,,0,0,1,4,-999999,2,823845,,191,824036,smallwinright.bmp,right,TrialProc,TrialList,222,targetright.bmp,right,250,60,1,60,2,4
60,4495,5,3555,43,1,,0,4,829557,,0,0,1,5,-999999,15,834318,,171,834489,nowinleft.bmp,left,TrialProc,TrialList,222,targetleft.bmp,left,250,61,1,61,0,5
61,4352,4,3698,50,1,,0,8,839563,,0,0,1,4,-999999,7,844173,,177,844350,bigwinright.bmp,right,TrialProc,TrialList,232,targetright.bmp,right,250,62,1,62,10,4
62,4363,5,3687,50,1,,0,17,849585,,0,0,1,5,-999999,12,854211,,203,854414,nowinleft.bmp,left,TrialProc,TrialList,232,targetleft.bmp,left,250,63,1,63,0,5
63,4278,5,3772,31,1,,0,17,859640,,0,0,1,5,-999999,14,864183,,182,864365,bigwinleft.bmp,left,TrialProc,TrialList,242,targetleft.bmp,left,250,64,1,64,10,5
64,4016,4,4034,38,1,,0,3,869629,,0,0,1,4,-999999,9,873905,,205,874110,bigwinright.bmp,right,TrialProc,TrialList,252,targetright.bmp,right,250,65,1,65,10,4
65,4428,4,3622,46,1,,0,12,879667,,0,0,1,4,-999999,15,884361,,198,884559,smallwinright.bmp,right,TrialProc,TrialList,254,targetright.bmp,right,250,66,1,66,2,4
