,TrialList,PictureTarget.OnsetTime,PictureTarget.ACC,SumPrize,prize,CorrectAnswer,PictureTarget.CRESP,PictureTarget.RESP,PictureTarget.OnsetDelay,PictureTarget.RT,PictureTarget.RTTime,TargetPosition,Target_time,Ant_time,Fix_time,J_time,PicturePrime.OnsetTime,PicturePrime.OnsetDelay
0,1,125625,0,0,10,5,5,,30,0,0,left,280,4045,3975,21,121299,30
1,2,135847,0,0,2,5,5,4,14,198,136045,left,290,4178,3832,28,131404,28
2,3,145986,0,0,10,5,5,,5,0,0,left,300,4354,3646,17,141376,5
3,4,156075,0,0,0,4,4,5,32,174,156249,right,300,4344,3656,33,151448,33
4,5,166030,0,0,10,4,4,,12,0,0,right,300,4330,3670,49,161437,34
5,6,175818,1,0,0,5,5,5,13,23,175841,left,300,4012,3988,17,171542,34
6,7,185690,0,0,2,4,4,,11,0,0,right,300,4081,3919,14,181347,33
7,8,195979,0,0,0,4,4,5,5,221,196200,right,300,4320,3680,21,191403,20
8,9,206018,0,0,10,5,5,,16,0,0,left,300,4360,3640,15,201391,12
9,10,216008,0,0,0,5,5,,2,0,0,left,300,4308,3692,19,211447,19
10,11,226112,0,0,2,4,4,,16,0,0,right,300,4343,3657,27,221502,14
11,12,236251,0,0,0,4,4,,12,0,0,right,300,4431,3569,39,231557,6
12,13,245940,0,0,10,5,5,4,2,145,246085,left,300,4057,3943,33,241630,12
13,14,255878,0,0,2,4,4,,12,0,0,right,300,4064,3936,43,251551,17
14,15,265901,0,0,0,5,5,4,2,211,266112,left,300,4008,3992,25,261624,8
15,16,275871,0,0,2,5,5,,15,0,0,left,300,4010,3990,12,271595,7
16,17,285893,1,0,0,4,4,4,3,62,285955,right,300,4005,3995,15,281634,5
17,18,296049,0,0,2,5,5,,17,0,0,left,300,4325,3675,19,291456,19
18,19,306171,1,10,10,4,4,4,4,189,306360,right,300,4405,3595,36,301511,13
19,20,315826,0,10,2,5,5,,6,0,0,left,300,4086,3914,23,311483,14
20,21,325998,0,10,0,4,4,,14,0,0,right,300,4195,3805,27,321538,10
21,22,336037,0,10,2,5,5,4,4,86,336123,left,300,4188,3812,23,331594,7
22,23,345925,1,20,10,4,4,4,4,145,346070,right,300,4221,3779,44,341449,11
23,24,356114,0,20,2,4,4,5,13,183,356297,right,300,4479,3521,38,351371,6
24,25,365819,0,20,10,5,5,,13,0,0,left,300,4229,3771,47,361326,12
25,26,375791,1,20,0,4,4,4,13,8,375799,right,300,4112,3888,48,371415,20
26,27,385579,0,20,10,5,5,,16,0,0,left,300,4092,3908,50,381220,19
27,28,395885,0,20,2,5,5,,3,0,0,left,300,4323,3677,14,391308,16
28,29,406091,0,20,0,4,4,,8,0,0,right,300,4468,3532,26,401364,20
29,30,416079,0,20,0,5,5,,15,0,0,left,300,4394,3606,36,411419,7
30,31,426135,1,30,10,4,4,4,14,76,426211,right,300,4379,3621,45,421491,14
31,32,436023,1,32,2,5,5,5,8,70,436093,left,300,4418,3582,37,431346,5
32,33,445695,1,42,10,4,4,4,13,64,445759,right,300,4230,3770,19,441201,13
33,34,455549,1,42,0,4,4,4,3,72,455621,right,300,4272,3728,31,451023,15
34,35,465288,0,42,2,4,4,5,13,191,465479,right,300,4146,3854,44,460878,19
35,36,475594,1,52,10,5,5,5,13,17,475611,left,300,4480,3520,47,470850,6
36,37,485181,1,52,0,4,4,4,4,151,485332,right,300,4255,3745,23,480671,19
37,38,495303,0,52,2,4,4,5,11,1,495304,right,300,4448,3552,13,490593,10
