0,26243
1,26249
2,26257
3,26334
4,26265
5,40889
6,52246
7,25392
8,26419
9,26490
10,26494
11,26498
12,26502
13,26506
14,48055
15,27122
16,27126
17,27130
18,30987
19,26653
20,26671
21,26693
22,26717
23,26722
24,29518
25,36833
26,26854
27,26870
28,26891
29,26912
30,26935
31,26946
32,26983
33,26991
34,26999
35,27007
36,27015
37,27019
38,44539
39,213626
40,30495
41,30499
42,37929
43,44958
44,50637
45,214926
46,209661
47,215071
48,233320
49,27751
50,27755
51,27759
52,27763
53,27767
54,27772
55,27775
56,27788
57,29193
58,36203
59,31041
60,35448
61,36870
62,44572
63,27798
64,27802
65,27806
66,27814
67,27818
68,27822
69,27826
70,36053
71,36061
72,45634
73,44576
74,46782
75,70936
76,67297
77,74278
78,73284
79,214934
80,27881
81,27885
82,27889
83,27900
84,44588
85,33211
86,27912
87,27920
88,36875
89,37232
90,38477
91,48297
92,57702
93,56759
94,58485
95,66403
96,223005
97,32544
98,30092
99,36880
100,37708
101,78598
102,73793
103,192723
