PET2ADNI,8
3D PET BRAIN ADNI-2 AV45,7
ADNI DYN BRAIN_F18AV45 (AC),7
ADNI DYN BRAIN_F18FDG (AC),7
ADNI-GO FDG,7
ADNI-GO-AV45,7
ADNI-GO-FDG,7
ADNI-GO_3D Iterative Brain AV45,7
Adni Early AV45 0-20min 4i/16s ,7
C-11 Dynamic-1 4i/16s  PIB,7
FDG (AC),7
PET Brain_FDG,7
PET2 AV45,7
3D_ADNI ITERATIVE  FDG,6
ADNI ITERATIVE Early AV45,6
ANDI pib 4 X 300 4i/16s  PIB,6
AV-45 PET BRAIN 2  AV45,6
Early 20 minutes 4i/16s  AV45,6
Florbetapir Dynamic 4 Early AV45,6
PET-AC Volume (Corrected)  AV45,6
PET3DBRAINOSEM I20.4 FDG,6
20 min 3D AV-45 4i/16s  AV45,5
3D ADNI-GO AV45 F18 ACQ. 4i/16s ,5
3D Neuro Dyna - Copied from ACS,5
3D_Brain 4.8,5
60 min dynamic - Iter(Brain Mod,5
ADNI BRAIN 2 AV45,5
ADNI PIB 4i/16s,5
ADNI PIB Brain,5
ADNI Static Brain (6x5) #2,5
ADNI static brain (6x5),5
EMISSION-ADNI - Iter(Brain Mode,5
Emission 20min - Iter(Brain  PIB,5
FDG PET BRAIN 2,5
e+1 ADNI_3D_Brain_ITERATIVE  Early AV45,5
20 MIN 3D  6i/16s  AV45,4
20 min Emission - Ite Early AV45,4
3D BRAIN ADNI-2 ITERATIVE_FDG,4
3D_IR  FDG,4
70 min dynamic-3D 4i/16s  PIB,4
ADNI,4
ADNI BRAIN 1 AV45,4
ADNI BRAIN 1 FDG,4
ADNI BRAIN 2 FDG,4
ADNI-FDG (AC),4
ADNI-GO AV45,4
ADNIStaticBrain6x5,4
BRAIN,4
BRAINap,4
Dyanmic 1 BTA 4i/16s  PIB,4
PET AC 3D Brain RESEARCH,4
PET2,4
[F-18]AV-45  Dy1 4i/1 Early AV45,4
[F-18]AV-45 Dy2 4i/16s  AV45,4
 3D 4x300s - Iter(Brain Mod AV45,3
11C-PIB dynamic,3
20 MIN EMMI 4i/16s  AV45,3
30 MIN EMMI 4i/16s  FDG,3
30 min 3D FDG 6i/16s,3
3D BRAIN ADNI,3
6 fr FDG Brain,3
70 min dynamic-3D - Iter(Bra PIB,3
ADNI AV45,3
ADNI BRAIN (6X5),3
ADNI C-11 Static Brain (4x5) PIB,3
ADNI C11PIB Static Brain (4x5),3
ADNI PET Brain_P,3
ADNI STATIC BRAIN (6x5),3
ADNI STATIC BRAIN (6x5)FORE-IT AV45,3
ADNI STATIC BRAIN (6x5)FORE-IT FDG,3
ADNIGo_FDG 6F 4i/16s ,3
ADNI_ 3D PIB 4i/16s,3
AV-45 PET BRAIN 1  AV45,3
BRAIN DYN EM 6i/16s,3
DYN 3D  6i/16s,3
Dynamic Emission 4i/1 Early AV45,3
EMISSION - Iter(Brain Mode)  FDG,3
EMISSION-ADNI - Iter(Brain M FDG,3
PET 1 (AC) FDG,3
PET 3D BRAIN ITERATIVE AV45,3
PET AC (AC)  AV45,3
PET AC 3D BRAIN  AV45,3
PET AC 3D BRAIN  FDG,3
PET AC 3D Brain,3
PET ADNI Iterative AV45,3
PET BR ADNI,3
PET Brain_DYNAMIC 6X5  FDG,3
PET-AC 1 Volume (Corrected)  FDG,3
[DY_CTAC] Brain,3
 3D 6x300s - Iter(Brain Mode FDG,2
022_S_0014.img: BRAIN-ADNI*,2
022_S_0096.img: BRAIN-PASS2*,2
022_S_0130.img: BRAIN-PASS2*,2
2-PET ADNI Iterative1  FDG,2
20 min 3D AV45 4i/16s ,2
20 min dynamic 4i/16s Early AV45,2
30 MIN EMMI - Iter(Brain Mod FDG,2
30 min 3D FDG  - Iter(Brain Mod,2
3D BRAIN AV-45 FORE  FDG,2
3D PET BRAIN ADNI-2 AV45 20.4,2
3D PET BRAIN ADNI-GO AV45,2
3D PET BRAIN ADNI-GO FDG,2
3DFDG-BRAINSCAN-DYNEMISSION,2
3D_IR  AV45,2
90 min 3D PIB  - Iter(Brain Mod,2
ADNI AV-45 4X5 Early AV45,2
ADNI AV45 Brain_20min early dyn  Early AV45,2
ADNI Brain,2
ADNI FDG Brain,2
ADNI PET BRAIN (AC)  FDG,2
ADNI STATIC BRAIN  FDG,2
ADNI STATIC BRAIN (6x5)),2
ADNI static brain 6x5,2
ADNI-2 RECON 1 FDG,2
ADNI2 AV45 (EARLY ADD-ON) (AC) Early AV45,2
ADNI2 FDG  Brain (6x5),2
ADNI_ 3D FDG 4i/16s,2
ANONYMIZED FDG,2
AV45,2
AV45 (AC),2
AV45 PET BRAIN 2 (AC),2
AdniGO AV45 4 X 300 4i/16s ,2
BRAINAP,2
C-11 Dynamic-1 - Iter(Brain  PIB,2
EMISSION - Iter(Brain Mode) 4 i,2
Emission 20min - Iter(Brain Mod,2
FDG PET,2
FDG PET BRAIN 1,2
FORE-ITERATIVEAV-454X5MIN3D  AV45,2
FORE-ITERATIVEAV-454X5MIN3DBASELINE  AV45,2
FORE-ITERATIVEFDG6X5MIN3D,2
PET 1 (AC) AV45,2
PET 168 Brain,2
PET ADNI Brain,2
PET ADNI Iterative2  AV45,2
PET BRAIN 1  FDG,2
PET Brain 168,2
PET Brain AV_45,2
PET Brain COR # 2,2
PET Brain DYN  Early AV45,2
PET Brain fdg  FDG,2
PET Brain_DYNAMIC 4X5  AV45,2
RESEARCH,2
TRANSAXIAL:BRAIN 3D:PIB:RP CTAC,2
[F-18]AV-45 Dy1 4i/16s  AV45,2
adni static brain (6x5),2
pet2adni,2
 4i/16s,1
009_S_4388 2.18  AV45,1
009_S_4388 FDG,1
009_S_4543 AV 45 AV45,1
016-4009-1-E AV45,1
016-4097-1-E AV45,1
016-4121-1-E AV45,1
016-S-4584 (AC)  AV45,1
016-S-4584 (AC)  FDG,1
016-S-4591 (AC)  AV45,1
016-S-4591 (AC)  FDG,1
016-S-4902E  AV45,1
016-S-5007-E AV45,1
016S5007E (AC) FDG,1
019-4252-ADNI AV45,1
019-4477-AV45,1
019-4477-FDG,1
019-S-4252-03-AV45/,1
019-S-4252-FDG/,1
019-S-4367-AV45,1
019-S-4367-FDG,1
019_S_4285-FDG/,1
019_S_4285_AV45/,1
019_S_4293-AV45,1
019_S_4293-FDG/,1
022_S_0066.img: BRAIN-PASS2*,1
022_S_0219.img: BRAIN-PASS2*,1
022_S_0543.img: BRAIN-PASS2*,1
022_S_0544.img: 3D-RAMLA,1
070_S_4856FDGFORE-ITERATIVE,1
082-AV45-2099-E3,1
082-FDG-2099-E,1
082-S-2099-E-01  FDG,1
082-S-2121-02-E  FDG,1
082-S-2307-AV-45-E,1
082-S-2307-FDG-E,1
082-S-4090-E-LM  FDG,1
082-S-4208-E -LM FDG,1
082-S-4208-E1  FDG,1
082-S-4208-E2  AV45,1
082-S-4224-AV45-E2,1
082-S-4224-E FDG,1
082-S-4224-E1  FDG,1
082-S-4244-AV45-E1,1
082-S-4244-E-LM  AV45,1
082-S-4244-E-LM  FDG,1
082-S-4339-E-LM PET  AV45,1
082-S-4339-E1  AV45,1
082-S-4339-FDG-E1,1
082-S-4428-E1  AV45,1
082-S-4428-E2  FDG,1
